"job.id","time","intercept","group_difference"
1,0,"TN","TN"
1,0.01,"TN","TN"
1,0.02,"TN","TN"
1,0.03,"TN","TN"
1,0.04,"TN","TN"
1,0.05,"TN","TN"
1,0.06,"TN","TN"
1,0.07,"TN","TN"
1,0.08,"TN","TN"
1,0.09,"TN","TN"
1,0.1,"TN","TN"
1,0.11,"TN","TN"
1,0.12,"TN","TN"
1,0.13,"TN","TN"
1,0.14,"TN","TN"
1,0.15,"TN","TN"
1,0.16,"TN","TN"
1,0.17,"TN","TN"
1,0.18,"TN","TN"
1,0.19,"TN","TN"
1,0.2,"TN","TN"
1,0.21,"TN","TN"
1,0.22,"TN","TN"
1,0.23,"TN","TN"
1,0.24,"TN","TN"
1,0.25,"TN","TN"
1,0.26,"TN","FN"
1,0.27,"TN","TP"
1,0.28,"TN","TP"
1,0.29,"TN","TP"
1,0.3,"TN","TP"
1,0.31,"TN","TP"
1,0.32,"TN","TP"
1,0.33,"TN","TP"
1,0.34,"TN","TP"
1,0.35,"TN","TP"
1,0.36,"TN","TP"
1,0.37,"TN","TP"
1,0.38,"TN","TP"
1,0.39,"TN","TP"
1,0.4,"TN","TP"
1,0.41,"TN","TP"
1,0.42,"TN","TP"
1,0.43,"TN","TP"
1,0.44,"TN","TP"
1,0.45,"TN","TP"
1,0.46,"TN","TP"
1,0.47,"TN","TP"
1,0.48,"TN","TP"
1,0.49,"TN","TP"
1,0.5,"TN","TP"
1,0.51,"TN","TP"
1,0.52,"TN","TP"
1,0.53,"TN","TP"
1,0.54,"TN","TP"
1,0.55,"TN","TP"
1,0.56,"TN","TP"
1,0.57,"TN","TP"
1,0.58,"TN","TP"
1,0.59,"TN","TP"
1,0.6,"TN","TP"
1,0.61,"TN","TP"
1,0.62,"TN","TP"
1,0.63,"TN","TP"
1,0.64,"TN","TP"
1,0.65,"TN","TP"
1,0.66,"TN","TP"
1,0.67,"TN","TP"
1,0.68,"TN","TP"
1,0.69,"TN","TP"
1,0.7,"TN","TP"
1,0.71,"TN","TP"
1,0.72,"TN","TP"
1,0.73,"TN","TP"
1,0.74,"TN","FN"
1,0.75,"TN","TN"
1,0.76,"TN","TN"
1,0.77,"TN","TN"
1,0.78,"TN","TN"
1,0.79,"TN","TN"
1,0.8,"TN","TN"
1,0.81,"TN","TN"
1,0.82,"TN","TN"
1,0.83,"TN","TN"
1,0.84,"TN","TN"
1,0.85,"TN","TN"
1,0.86,"TN","TN"
1,0.87,"TN","TN"
1,0.88,"TN","TN"
1,0.89,"TN","TN"
1,0.9,"TN","TN"
1,0.91,"TN","TN"
1,0.92,"TN","TN"
1,0.93,"TN","TN"
1,0.94,"TN","TN"
1,0.95,"TN","TN"
1,0.96,"TN","TN"
1,0.97,"TN","TN"
1,0.98,"TN","TN"
1,0.99,"TN","TN"
1,1,"TN","TN"
2,0,"TN","TN"
2,0.01,"TN","TN"
2,0.02,"TN","TN"
2,0.03,"TN","TN"
2,0.04,"TN","TN"
2,0.05,"TN","TN"
2,0.06,"TN","TN"
2,0.07,"TN","TN"
2,0.08,"TN","TN"
2,0.09,"TN","TN"
2,0.1,"TN","TN"
2,0.11,"TN","TN"
2,0.12,"TN","TN"
2,0.13,"TN","TN"
2,0.14,"TN","TN"
2,0.15,"TN","TN"
2,0.16,"TN","TN"
2,0.17,"TN","TN"
2,0.18,"TN","TN"
2,0.19,"TN","TN"
2,0.2,"TN","TN"
2,0.21,"TN","TN"
2,0.22,"TN","TN"
2,0.23,"TN","TN"
2,0.24,"TN","TN"
2,0.25,"TN","TN"
2,0.26,"TN","FN"
2,0.27,"TN","TP"
2,0.28,"TN","TP"
2,0.29,"TN","TP"
2,0.3,"TN","TP"
2,0.31,"TN","TP"
2,0.32,"TN","TP"
2,0.33,"TN","TP"
2,0.34,"TN","TP"
2,0.35,"TN","TP"
2,0.36,"TN","TP"
2,0.37,"TN","TP"
2,0.38,"TN","TP"
2,0.39,"TN","TP"
2,0.4,"TN","TP"
2,0.41,"TN","TP"
2,0.42,"TN","TP"
2,0.43,"TN","TP"
2,0.44,"TN","TP"
2,0.45,"TN","TP"
2,0.46,"TN","TP"
2,0.47,"TN","TP"
2,0.48,"TN","TP"
2,0.49,"TN","TP"
2,0.5,"TN","TP"
2,0.51,"TN","TP"
2,0.52,"TN","TP"
2,0.53,"TN","TP"
2,0.54,"TN","TP"
2,0.55,"TN","TP"
2,0.56,"TN","TP"
2,0.57,"TN","TP"
2,0.58,"TN","TP"
2,0.59,"TN","TP"
2,0.6,"TN","TP"
2,0.61,"TN","TP"
2,0.62,"TN","TP"
2,0.63,"TN","TP"
2,0.64,"TN","TP"
2,0.65,"TN","TP"
2,0.66,"TN","TP"
2,0.67,"TN","TP"
2,0.68,"TN","TP"
2,0.69,"TN","TP"
