"job.id","llk","rss","family.dispersion","family.name","penalty.name","penalty.alpha","penalty.lambda","penalty.adaptive","penalty.penalize_intercept","link_function.name","working_covariance.estimate","working_covariance.ratio","working_covariance.correlation","working_covariance.name","kernel.name","kernel.scale","control.max_iter","control.max_rounds","control.rel_tol","control.verbose","control.update_method","control.backtracking_fraction","control.two_step_estimation","control.lambda_max_factor","control.stepsize_factor","control.update_stepsize_every_round","penalty","df","df_kernel","df_logn","df_logn_kernel","df_max","aic","aich","bic","bich","ebic","ebich"
1,-1163.36560406837,2801.57264153147,5.46115524665003,"gaussian","adaptive_sparse_group_lasso",0.9,0.123671308579357,0.5,TRUE,"identity",FALSE,1e-06,0,"autoregressive","gaussian",0.5,1000,50,1e-06,1,"PGD",0.9,TRUE,10,1,TRUE,0.0366083188620277,6,0.322394047741575,37.1867630147574,1.99813184178905,42,2338.73120813673,2327.37599623222,2363.91797115149,2328.72933997852,2386.34398886119,2329.93434241588
2,-1163.26295980412,2784.81410274579,5.42848752971888,"gaussian","adaptive_sparse_group_lasso",0.9,0.119920609849953,0.5,TRUE,"identity",FALSE,0.00566490565124573,0.125,"autoregressive","gaussian",0.5,1000,50,1e-06,1,"PGD",0.9,TRUE,10,1,TRUE,0.0344118322391905,6,0.322394047741575,37.1867630147574,1.99813184178905,42,2338.52591960825,2327.17070770373,2363.712682623,2328.52405145003,2386.1387003327,2329.72905388739
3,-1163.29258325255,2790.44739042274,5.43946859731528,"gaussian","adaptive_sparse_group_lasso",0.9,0.120723905557512,0.5,TRUE,"identity",FALSE,0.0037308975715369,0.25,"autoregressive","gaussian",0.5,1000,50,1e-06,1,"PGD",0.9,TRUE,10,1,TRUE,0.0348821570544356,6,0.322394047741575,37.1867630147574,1.99813184178905,42,2338.58516650511,2327.22995460059,2363.77192951986,2328.58329834689,2386.19794722956,2329.78830078425
4,-1163.31545918846,2794.22019291126,5.44682298813111,"gaussian","adaptive_sparse_group_lasso",0.9,0.12149490000006,0.5,TRUE,"identity",FALSE,0.00245170741694655,0.375,"autoregressive","gaussian",0.5,1000,50,1e-06,1,"PGD",0.9,TRUE,10,1,TRUE,0.0353335895107866,6,0.322394047741575,37.1867630147574,1.99813184178905,42,2338.63091837693,2327.27570647241,2363.81768139169,2328.62905021872,2386.24369910139,2329.83405265608
5,-1163.3327663286,2796.91613779182,5.45207824130959,"gaussian","adaptive_sparse_group_lasso",0.9,0.122172232648701,0.5,TRUE,"identity",FALSE,0.00154488554386839,0.5,"autoregressive","gaussian",0.5,1000,50,1e-06,1,"PGD",0.9,TRUE,10,1,TRUE,0.035730878364486,6,0.322394047741575,37.1867630147574,1.99813184178905,42,2338.66553265721,2327.31032075269,2363.85229567196,2328.66366449899,2386.27831338166,2329.86866693635
6,-1163.34659864224,2798.92961655568,5.45600315118067,"gaussian","adaptive_sparse_group_lasso",0.9,0.12275954409999,0.5,TRUE,"identity",FALSE,0.000873808774721073,0.625,"autoregressive","gaussian",0.5,1000,50,1e-06,1,"PGD",0.9,TRUE,10,1,TRUE,0.0360741572804849,6,0.322394047741575,37.1867630147574,1.99813184178905,42,2338.69319728448,2327.33798537997,2363.87996029924,2328.69132912627,2386.30597800894,2329.89633156363
7,-1163.35756747656,2800.48140680456,5.45902808343969,"gaussian","adaptive_sparse_group_lasso",0.9,0.123272014029974,0.5,TRUE,"identity",FALSE,0.000359829740082109,0.75,"autoregressive","gaussian",0.5,1000,50,1e-06,1,"PGD",0.9,TRUE,10,1,TRUE,0.0363751816404525,6,0.322394047741575,37.1867630147574,1.99813184178905,42,2338.71513495312,2327.3599230486,2363.90189796788,2328.71326679491,2386.32791567758,2329.91826923227
8,-1163.36558216099,2801.57240226472,5.46115478024312,"gaussian","adaptive_sparse_group_lasso",0.9,0.123670261409799,0.5,TRUE,"identity",FALSE,1e-06,0.875,"autoregressive","gaussian",0.5,1000,50,1e-06,1,"PGD",0.9,TRUE,10,1,TRUE,0.0366077045378251,6,0.322394047741575,37.1867630147574,1.99813184178905,42,2338.73116432198,2327.37595241747,2363.91792733674,2328.72929616377,2386.34394504644,2329.93429860113
9,-1163.36558231166,2801.57240391168,5.46115478345356,"gaussian","adaptive_sparse_group_lasso",0.9,0.123670208492116,0.5,TRUE,"identity",FALSE,1e-06,NA,"compound_symmetry","gaussian",0.5,1000,50,1e-06,1,"PGD",0.9,TRUE,10,1,TRUE,0.0366076747460865,6,0.322394047741575,37.1867630147574,1.99813184178905,42,2338.73116462333,2327.37595271881,2363.91792763808,2328.72929646511,2386.34394534778,2329.93429890247
10,-1130.00358739956,2443.64563846072,4.75417439389246,"gaussian","adaptive_sparse_group_lasso",0.9,0.0831039619187391,0.5,TRUE,"identity",FALSE,1e-06,0,"autoregressive","gaussian",0.5,1000,50,1e-06,1,"PGD",0.9,TRUE,10,1,TRUE,0.0561040216566769,9,0.483591071612363,55.1685233972115,2.9643339276588,42,2278.00717479912,2260.97435694235,2315.17569819633,2262.97150872678,2348.81472476089,2264.77901238282
11,-1130.00358984221,2443.64566169024,4.75417443908608,"gaussian","adaptive_sparse_group_lasso",0.9,0.0831035150376596,0.5,TRUE,"identity",FALSE,1e-06,0.125,"autoregressive","gaussian",0.5,1000,50,1e-06,1,"PGD",0.9,TRUE,10,1,TRUE,0.0561034211006613,9,0.483591071612363,55.1685233972115,2.9643339276588,42,2278.00717968443,2260.97436182765,2315.17570308164,2262.97151361209,2348.81472964619,2264.77901726812
12,-1130.00359154841,2443.64567791478,4.75417447065131,"gaussian","adaptive_sparse_group_lasso",0.9,0.083103428829989,0.5,TRUE,"identity",FALSE,1e-06,0.25,"autoregressive","gaussian",0.5,1000,50,1e-06,1,"PGD",0.9,TRUE,10,1,TRUE,0.0561032981091278,9,0.483591071612363,55.1685233972115,2.9643339276588,42,2278.00718309682,2260.97436524005,2315.17570649404,2262.97151702448,2348.81473305859,2264.77902068052
13,-1130.00359221031,2443.64568420955,4.75417448289796,"gaussian","adaptive_sparse_group_lasso",0.9,0.0831033670460817,0.5,TRUE,"identity",FALSE,1e-06,0.375,"autoregressive","gaussian",0.5,1000,50,1e-06,1,"PGD",0.9,TRUE,10,1,TRUE,0.0561032088033394,9,0.483591071612363,55.1685233972115,2.9643339276588,42,2278.00718442062,2260.97436656384,2315.17570781783,2262.97151834828,2348.81473438238,2264.77902200432
14,-1130.00359239998,2443.64568601415,4.75417448640885,"gaussian","adaptive_sparse_group_lasso",0.9,0.0831033169111009,0.5,TRUE,"identity",FALSE,1e-06,0.5,"autoregressive","gaussian",0.5,1000,50,1e-06,1,"PGD",0.9,TRUE,10,1,TRUE,0.0561031356861695,9,0.483591071612363,55.1685233972115,2.9643339276588,42,2278.00718479996,2260.97436694318,2315.17570819717,2262.97151872762,2348.81473476172,2264.77902238365
15,-1130.00359231874,2443.6456852428,4.75417448490817,"gaussian","adaptive_sparse_group_lasso",0.9,0.0831032738523208,0.5,TRUE,"identity",FALSE,1e-06,0.625,"autoregressive","gaussian",0.5,1000,50,1e-06,1,"PGD",0.9,TRUE,10,1,TRUE,0.0561030724550159,9,0.483591071612363,55.1685233972115,2.9643339276588,42,2278.00718463747,2260.9743667807,2315.17570803468,2262.97151856513,2348.81473459923,2264.77902222117
16,-1130.00359206236,2443.64568280625,4.7541744801678,"gaussian","adaptive_sparse_group_lasso",0.9,0.083103235639369,0.5,TRUE,"identity",FALSE,1e-06,0.75,"autoregressive","gaussian",0.5,1000,50,1e-06,1,"PGD",0.9,TRUE,10,1,TRUE,0.0561030160220671,9,0.483591071612363,55.1685233972115,2.9643339276588,42,2278.00718412472,2260.97436626795,2315.17570752194,2262.97151805238,2348.81473408649,2264.77902170842
