"job.id","llk","rss","family.dispersion","family.name","penalty.name","penalty.alpha","penalty.lambda","penalty.adaptive","penalty.penalize_intercept","link_function.name","working_covariance.estimate","working_covariance.ratio","working_covariance.name","kernel.name","kernel.scale","control.max_iter","control.max_rounds","control.rel_tol","control.verbose","control.update_method","control.backtracking_fraction","control.two_step_estimation","control.stepsize_factor","penalty","df","df_kernel","df_logn","df_logn_kernel","df_max","aic","aich","bic","bich","ebic","ebich"
1,-1783.37882471527,2007.0263422456,1.99505600620834,"gaussian","adaptive_sparse_group_lasso",1,0.015516610827873,0.5,TRUE,"identity",FALSE,0.019039607189229,"compound_symmetry","gaussian",0.2,1000,50,1e-06,1,"PGD",0.9,TRUE,1,0.00244222973272032,11,1.55152135475633,73.02928345542,10.3005902548761,40,3588.75764943054,3569.86069214005,3639.78693288596,3577.05823968542,3680.36460688121,3582.7816149336
2,-1789.85707564442,2065.50457643128,2.05318546364938,"gaussian","adaptive_sparse_group_lasso",1,0.0497983588163668,0.5,TRUE,"identity",FALSE,0.0011028789388326,"compound_symmetry","gaussian",0.2,1000,50,1e-06,1,"PGD",0.9,TRUE,1,0.0222998946779551,10,1.41047395886939,68.9454393824596,9.72457468317674,40,3599.71415128884,3582.53509920658,3648.6595906713,3589.43872597202,3685.54838521244,3594.64179437945
3,-1777.3227894206,2016.87425544259,2.00484518433657,"gaussian","adaptive_sparse_group_lasso",1,0.0179408134389944,0.5,TRUE,"identity",FALSE,1e-06,"compound_symmetry","gaussian",0.2,1000,50,1e-06,1,"PGD",0.9,TRUE,1,0.00347147740573232,12,1.69256875064327,83.3217403321943,11.7523144946237,40,3578.64557884121,3558.03071634249,3637.9673191734,3566.39789333583,3682.23387262277,3572.64157542475
4,-1779.53726227154,2025.77318042563,2.01369103422031,"gaussian","adaptive_sparse_group_lasso",1,0.215252727617712,0.5,TRUE,"identity",FALSE,1e-06,"compound_symmetry","gaussian",0.2,1000,50,1e-06,1,"PGD",0.9,TRUE,1,0.188465739053675,6,0.846284375321634,41.4117131373865,5.84101429724531,40,3571.07452454307,3560.76709329372,3600.48623768046,3564.91553884032,3622.61951440514,3568.03737988478
5,-1792.01183761081,2076.64122689712,2.06425569274067,"gaussian","adaptive_sparse_group_lasso",1,0.0754309722797375,0.5,TRUE,"identity",FALSE,1e-06,"compound_symmetry","gaussian",0.2,1000,50,1e-06,1,"PGD",0.9,TRUE,1,0.039939718548779,8,1.12837916709551,55.1495443552821,7.77869961566377,40,3600.02367522161,3586.2804335558,3639.17321957689,3591.80237483727,3668.6842552098,3595.96482956322
6,-1772.62589862469,1998.1288339394,1.98621156455209,"gaussian","adaptive_sparse_group_lasso",1,0.0298307616951844,0.5,TRUE,"identity",FALSE,1e-06,"compound_symmetry","gaussian",0.2,1000,50,1e-06,1,"PGD",0.9,TRUE,1,0.00669824604351491,8,1.12837916709551,56.6667299276755,7.99269468972711,40,3561.25179724938,3547.50855558357,3601.91852717705,3553.24449193911,3631.42956280997,3557.40694666505
7,-1782.95045640296,2038.28502123191,2.02612825172159,"gaussian","adaptive_sparse_group_lasso",1,0.0424996359451973,0.5,TRUE,"identity",FALSE,0.000632131885530246,"compound_symmetry","gaussian",0.2,1000,50,1e-06,1,"PGD",0.9,TRUE,1,0.0111314223150746,8,1.12837916709551,55.6371495577818,7.84747505969728,40,3581.90091280591,3568.1576711401,3621.53806236369,3573.74838786561,3651.04909799661,3577.91084259156
8,-1799.68626448898,2108.56812559357,2.09599217255822,"gaussian","adaptive_sparse_group_lasso",1,0.0103585411567691,0.5,TRUE,"identity",FALSE,1e-06,"compound_symmetry","gaussian",0.2,1000,50,1e-06,1,"PGD",0.9,TRUE,1,0.00124230661105103,14,1.97466354241715,95.8457135871214,13.5187883083889,40,3627.37252897796,3603.32185606279,3695.21824256508,3612.89131728635,3746.86255492268,3620.17561305676
9,-1724.54794200615,1813.90802256914,1.80308948565521,"gaussian","adaptive_sparse_group_lasso",1,0.0135342902425068,0.5,TRUE,"identity",FALSE,0.00115536213114123,"compound_symmetry","gaussian",0.2,1000,50,1e-06,1,"PGD",0.9,TRUE,1,0.0016470768197261,10,1.41047395886939,67.2843504576544,9.49028241599633,40,3469.0958840123,3451.91683193004,3516.38023446995,3458.5861664283,3553.26902901109,3463.78923483573
10,-1803.93932742613,2126.47248638235,2.11378974789498,"gaussian","adaptive_sparse_group_lasso",1,0.060026806859027,0.5,TRUE,"identity",FALSE,1e-06,"compound_symmetry","gaussian",0.2,1000,50,1e-06,1,"PGD",0.9,TRUE,1,0.0236652199053629,8,1.12837916709551,52.3748050418654,7.38732986124124,40,3623.87865485226,3610.13541318645,3660.25345989413,3615.2659847135,3689.76449552704,3619.42843943945
