"job.id","llk","rss","family.dispersion","family.name","penalty.name","penalty.alpha","penalty.lambda","penalty.adaptive","penalty.penalize_intercept","link_function.name","working_covariance.estimate","working_covariance.ratio","working_covariance.name","kernel.name","kernel.scale","control.max_iter","control.max_rounds","control.rel_tol","control.verbose","control.update_method","control.backtracking_fraction","control.two_step_estimation","control.stepsize_factor","penalty","df","df_kernel","df_logn","df_logn_kernel","df_max","aic","aich","bic","bich","ebic","ebich"
1,-1812.70361099863,2187.23743980547,2.18723743980547,"gaussian","adaptive_sparse_group_lasso",1,0.0852884635222265,0.5,TRUE,"identity",FALSE,0.00501242711019428,"compound_symmetry","gaussian",0.2,1000,50,1e-06,1,"PGD",0.9,TRUE,1,0.206975378035427,38,1.07196020874074,261.409722945984,7.37423213621146,200,3701.40722199726,3627.55114241475,3886.81694494325,3632.78145413348,4088.15300487207,3638.46103952369
2,-1781.00396249205,2062.93527333961,2.06293527333961,"gaussian","adaptive_sparse_group_lasso",1,0.0554860621215173,0.5,TRUE,"identity",FALSE,1e-06,"compound_symmetry","gaussian",0.2,1000,50,1e-06,1,"PGD",0.9,TRUE,1,0.120877044177007,40,1.12837916709551,274.977726355861,7.75697844588111,200,3642.0079249841,3564.26468331829,3836.98565133996,3569.76490342998,4048.91834600188,3575.74341436706
3,-1812.14691406485,2184.87273982095,2.18487273982095,"gaussian","adaptive_sparse_group_lasso",1,0.0226351932053967,0.5,TRUE,"identity",FALSE,0.0049791712179234,"compound_symmetry","gaussian",0.2,1000,50,1e-06,1,"PGD",0.9,TRUE,1,0.0184090166168564,48,1.35405500051462,332.152083883021,9.36983729402405,200,3720.29382812971,3627.00193813074,3956.44591201273,3633.66366542373,4210.76514560704,3640.83787854822
4,-1736.172711732,1873.9741962549,1.8739741962549,"gaussian","adaptive_sparse_group_lasso",1,0.00559214804773341,0.5,TRUE,"identity",FALSE,0.00661664166534557,"compound_symmetry","gaussian",0.2,1000,50,1e-06,1,"PGD",0.9,TRUE,1,0.00155162353284387,69,1.94645406323976,475.494951485256,13.4134649328764,200,3610.345423464,3476.23833159048,3947.84037494926,3485.75888839688,4313.42427324107,3496.07181976333
5,-1780.82774950211,2047.35345970589,2.04735345970589,"gaussian","adaptive_sparse_group_lasso",1,0.0255463946112766,0.5,TRUE,"identity",FALSE,0.00749828281334834,"compound_symmetry","gaussian",0.2,1000,50,1e-06,1,"PGD",0.9,TRUE,1,0.0276443919847594,59,1.66435927146588,405.783846663342,11.4469509729699,200,3679.65549900421,3564.98421754714,3967.43934566755,3573.10244997718,4280.04007029389,3581.92075360937
6,-1750.97806410532,1937.49293535109,1.93749293535109,"gaussian","adaptive_sparse_group_lasso",1,0.0473941600631687,0.5,TRUE,"identity",FALSE,0.00272057568313753,"compound_symmetry","gaussian",0.2,1000,50,1e-06,1,"PGD",0.9,TRUE,1,0.089568084681734,56,1.57973083393372,384.812272093981,10.8553537768385,200,3613.95612821063,3505.1155898785,3886.76840030462,3512.81148198747,4183.47417283131,3521.18139729938
7,-1748.50875295947,1933.12804478521,1.93312804478521,"gaussian","adaptive_sparse_group_lasso",1,0.0458837142715949,0.5,TRUE,"identity",FALSE,1e-06,"compound_symmetry","gaussian",0.2,1000,50,1e-06,1,"PGD",0.9,TRUE,1,0.0841030147891581,53,1.49510239640155,365.646591845994,10.3146999189624,200,3603.01750591893,3500.00771071173,3862.66409776492,3507.33220583789,4143.47491819197,3515.25373282952
8,-1773.28480075285,2031.33159289978,2.03133159289978,"gaussian","adaptive_sparse_group_lasso",1,0.05799900237686,0.5,TRUE,"identity",FALSE,1e-06,"compound_symmetry","gaussian",0.2,1000,50,1e-06,1,"PGD",0.9,TRUE,1,0.104268953693884,42,1.18479812545029,288.327229283583,8.13356097074915,200,3630.56960150571,3548.93919775661,3834.89683078929,3554.70316247646,4057.42616018431,3560.98059896038
9,-1742.60146805446,1910.42335571585,1.91042335571585,"gaussian","adaptive_sparse_group_lasso",1,0.0499618484270665,0.5,TRUE,"identity",FALSE,1e-06,"compound_symmetry","gaussian",0.2,1000,50,1e-06,1,"PGD",0.9,TRUE,1,0.095358213543405,55,1.55152135475633,379.411231949386,10.7029932473433,200,3595.20293610891,3488.30597881843,3864.6141680583,3495.90592935626,4156.02162321844,3504.12638189473
10,-1790.39668062321,2102.05469976985,2.10205469976985,"gaussian","adaptive_sparse_group_lasso",1,0.037744708689732,0.5,TRUE,"identity",FALSE,1e-06,"compound_symmetry","gaussian",0.2,1000,50,1e-06,1,"PGD",0.9,TRUE,1,0.0408191314384329,45,1.26942656298245,310.461428451968,8.75795520129787,200,3670.79336124643,3583.33221437239,3891.25478969839,3589.55131644772,4129.67907119306,3596.27714125193
