"job.id","time","intercept","group_difference"
1,0,"TN","TN"
1,0.1,"TN","TN"
1,0.2,"TN","TN"
1,0.3,"TN","TN"
1,0.4,"TN","TN"
1,0.5,"TN","FN"
1,0.6,"TN","FN"
1,0.7,"TN","FN"
1,0.8,"FP","FN"
1,0.9,"TN","FN"
1,1,"TN","TP"
2,0,"TN","TN"
2,0.1,"TN","TN"
2,0.2,"TN","TN"
2,0.3,"TN","TN"
2,0.4,"TN","TN"
2,0.5,"TN","FN"
2,0.6,"TN","FN"
2,0.7,"TN","FN"
2,0.8,"TN","FN"
2,0.9,"TN","FN"
2,1,"TN","FN"
3,0,"TN","TN"
3,0.1,"TN","TN"
3,0.2,"TN","TN"
3,0.3,"TN","TN"
3,0.4,"TN","TN"
3,0.5,"TN","FN"
3,0.6,"TN","FN"
3,0.7,"TN","FN"
3,0.8,"TN","FN"
3,0.9,"TN","FN"
3,1,"TN","FN"
4,0,"TN","TN"
4,0.1,"TN","TN"
4,0.2,"TN","TN"
4,0.3,"TN","TN"
4,0.4,"TN","TN"
4,0.5,"TN","FN"
4,0.6,"TN","FN"
4,0.7,"TN","FN"
4,0.8,"TN","FN"
4,0.9,"TN","TP"
4,1,"TN","FN"
5,0,"TN","TN"
5,0.1,"TN","TN"
5,0.2,"TN","TN"
5,0.3,"TN","TN"
5,0.4,"TN","TN"
5,0.5,"TN","FN"
5,0.6,"TN","FN"
5,0.7,"TN","FN"
5,0.8,"TN","FN"
5,0.9,"TN","FN"
5,1,"TN","TP"
6,0,"TN","TN"
6,0.1,"TN","TN"
6,0.2,"TN","TN"
6,0.3,"TN","TN"
6,0.4,"TN","TN"
6,0.5,"TN","FN"
6,0.6,"TN","FN"
6,0.7,"TN","FN"
6,0.8,"TN","FN"
6,0.9,"TN","FN"
6,1,"TN","FN"
7,0,"TN","TN"
7,0.1,"TN","TN"
7,0.2,"TN","TN"
7,0.3,"TN","TN"
7,0.4,"TN","TN"
7,0.5,"TN","FN"
7,0.6,"TN","FN"
7,0.7,"TN","FN"
7,0.8,"TN","FN"
7,0.9,"TN","TP"
7,1,"TN","TP"
8,0,"TN","TN"
8,0.1,"TN","TN"
8,0.2,"TN","TN"
8,0.3,"TN","TN"
8,0.4,"TN","TN"
8,0.5,"TN","FN"
8,0.6,"TN","FN"
8,0.7,"TN","FN"
8,0.8,"TN","FN"
8,0.9,"TN","FN"
8,1,"TN","FN"
9,0,"TN","TN"
9,0.1,"TN","TN"
9,0.2,"TN","TN"
9,0.3,"TN","TN"
9,0.4,"TN","TN"
9,0.5,"TN","FN"
9,0.6,"TN","FN"
9,0.7,"TN","FN"
9,0.8,"TN","FN"
9,0.9,"TN","FN"
9,1,"TN","TP"
10,0,"TN","TN"
10,0.1,"TN","TN"
10,0.2,"TN","TN"
10,0.3,"TN","TN"
10,0.4,"TN","TN"
10,0.5,"TN","FN"
10,0.6,"TN","FN"
10,0.7,"TN","FN"
10,0.8,"TN","FN"
10,0.9,"TN","FN"
10,1,"TN","FN"
11,0,"TN","TN"
11,0.1,"TN","TN"
11,0.2,"TN","TN"
11,0.3,"TN","TN"
11,0.4,"TN","TN"
11,0.5,"TN","FN"
11,0.6,"TN","FN"
11,0.7,"TN","FN"
11,0.8,"TN","FN"
11,0.9,"TN","FN"
11,1,"TN","FN"
12,0,"TN","TN"
12,0.1,"TN","TN"
12,0.2,"TN","TN"
12,0.3,"TN","TN"
12,0.4,"TN","TN"
12,0.5,"TN","FN"
12,0.6,"TN","FN"
12,0.7,"TN","FN"
12,0.8,"TN","TP"
12,0.9,"TN","TP"
12,1,"TN","TP"
13,0,"TN","TN"
13,0.1,"TN","TN"
13,0.2,"TN","TN"
13,0.3,"TN","TN"
13,0.4,"TN","TN"
13,0.5,"TN","FN"
13,0.6,"TN","FN"
13,0.7,"TN","FN"
13,0.8,"TN","FN"
13,0.9,"TN","FN"
13,1,"TN","TP"
14,0,"TN","TN"
14,0.1,"TN","FP"
14,0.2,"TN","TN"
14,0.3,"TN","TN"
14,0.4,"TN","TN"
14,0.5,"TN","FN"
14,0.6,"TN","FN"
14,0.7,"TN","TP"
14,0.8,"TN","TP"
14,0.9,"TN","TP"
14,1,"TN","TP"
15,0,"TN","TN"
15,0.1,"TN","TN"
15,0.2,"TN","TN"
15,0.3,"TN","TN"
15,0.4,"TN","TN"
15,0.5,"TN","FN"
15,0.6,"TN","FN"
15,0.7,"TN","FN"
15,0.8,"TN","FN"
15,0.9,"TN","TP"
15,1,"TN","FN"
16,0,"TN","TN"
16,0.1,"TN","TN"
16,0.2,"TN","TN"
16,0.3,"TN","TN"
16,0.4,"TN","TN"
16,0.5,"TN","FN"
16,0.6,"TN","FN"
16,0.7,"TN","FN"
16,0.8,"TN","FN"
16,0.9,"TN","FN"
16,1,"TN","FN"
17,0,"TN","TN"
17,0.1,"TN","TN"
17,0.2,"TN","TN"
17,0.3,"TN","TN"
17,0.4,"TN","TN"
17,0.5,"TN","FN"
17,0.6,"TN","FN"
17,0.7,"TN","FN"
17,0.8,"TN","FN"
17,0.9,"TN","FN"
17,1,"TN","FN"
18,0,"TN","TN"
18,0.1,"TN","TN"
18,0.2,"TN","TN"
18,0.3,"TN","TN"
18,0.4,"TN","TN"
18,0.5,"TN","FN"
18,0.6,"TN","FN"
18,0.7,"TN","FN"
18,0.8,"TN","FN"
18,0.9,"TN","FN"
18,1,"TN","TP"
19,0,"TN","TN"
19,0.1,"TN","TN"
19,0.2,"TN","TN"
19,0.3,"TN","TN"
19,0.4,"TN","TN"
19,0.5,"TN","FN"
19,0.6,"TN","FN"
19,0.7,"TN","FN"
19,0.8,"TN","TP"
19,0.9,"TN","FN"
19,1,"TN","TP"
20,0,"TN","TN"
20,0.1,"TN","TN"
20,0.2,"TN","TN"
20,0.3,"TN","TN"
20,0.4,"TN","TN"
20,0.5,"TN","FN"
20,0.6,"TN","FN"
20,0.7,"TN","FN"
20,0.8,"TN","FN"
20,0.9,"TN","FN"
20,1,"TN","TP"
21,0,"TN","TN"
21,0.1,"TN","TN"
21,0.2,"TN","TN"
21,0.3,"TN","TN"
21,0.4,"TN","TN"
21,0.5,"TN","FN"
21,0.6,"TN","FN"
21,0.7,"TN","FN"
21,0.8,"TN","FN"
21,0.9,"TN","FN"
21,1,"TN","FN"
22,0,"TN","TN"
22,0.1,"TN","TN"
22,0.2,"TN","TN"
22,0.3,"TN","TN"
22,0.4,"TN","TN"
22,0.5,"TN","FN"
22,0.6,"TN","FN"
22,0.7,"TN","FN"
22,0.8,"TN","FN"
22,0.9,"TN","TP"
22,1,"TN","TP"
23,0,"TN","FP"
23,0.1,"TN","TN"
23,0.2,"TN","TN"
23,0.3,"TN","TN"
23,0.4,"TN","TN"
23,0.5,"TN","FN"
23,0.6,"TN","FN"
23,0.7,"TN","FN"
23,0.8,"TN","FN"
23,0.9,"TN","FN"
23,1,"TN","FN"
24,0,"TN","TN"
24,0.1,"TN","TN"
24,0.2,"TN","TN"
24,0.3,"TN","TN"
24,0.4,"TN","TN"
24,0.5,"TN","FN"
24,0.6,"TN","FN"
24,0.7,"TN","FN"
24,0.8,"TN","FN"
24,0.9,"TN","FN"
24,1,"TN","FN"
25,0,"TN","TN"
25,0.1,"TN","TN"
25,0.2,"TN","TN"
25,0.3,"TN","TN"
25,0.4,"TN","TN"
25,0.5,"TN","FN"
25,0.6,"TN","FN"
25,0.7,"TN","FN"
25,0.8,"TN","FN"
25,0.9,"TN","TP"
25,1,"TN","TP"
26,0,"TN","TN"
26,0.1,"TN","TN"
26,0.2,"TN","TN"
26,0.3,"TN","TN"
26,0.4,"TN","TN"
26,0.5,"TN","FN"
26,0.6,"TN","FN"
26,0.7,"TN","FN"
26,0.8,"TN","FN"
26,0.9,"TN","TP"
26,1,"TN","TP"
27,0,"TN","TN"
27,0.1,"TN","TN"
27,0.2,"TN","TN"
27,0.3,"TN","TN"
27,0.4,"TN","TN"
27,0.5,"TN","FN"
27,0.6,"TN","FN"
27,0.7,"TN","FN"
27,0.8,"TN","FN"
27,0.9,"TN","TP"
27,1,"TN","TP"
28,0,"TN","TN"
28,0.1,"TN","TN"
28,0.2,"TN","TN"
28,0.3,"TN","TN"
28,0.4,"TN","TN"
28,0.5,"TN","FN"
28,0.6,"TN","FN"
28,0.7,"TN","FN"
28,0.8,"TN","FN"
28,0.9,"TN","FN"
28,1,"TN","FN"
29,0,"TN","TN"
29,0.1,"TN","TN"
29,0.2,"TN","TN"
29,0.3,"TN","TN"
29,0.4,"TN","TN"
29,0.5,"TN","FN"
29,0.6,"TN","FN"
29,0.7,"TN","FN"
29,0.8,"TN","FN"
29,0.9,"TN","FN"
29,1,"TN","FN"
30,0,"TN","TN"
30,0.1,"TN","TN"
30,0.2,"TN","TN"
30,0.3,"TN","TN"
30,0.4,"TN","TN"
30,0.5,"TN","FN"
30,0.6,"TN","FN"
30,0.7,"TN","FN"
30,0.8,"TN","FN"
30,0.9,"TN","FN"
30,1,"TN","FN"
31,0,"TN","TN"
31,0.1,"TN","TN"
31,0.2,"TN","TN"
31,0.3,"TN","TN"
31,0.4,"TN","TN"
31,0.5,"TN","FN"
31,0.6,"TN","FN"
31,0.7,"TN","FN"
31,0.8,"TN","FN"
31,0.9,"TN","TP"
31,1,"TN","TP"
32,0,"TN","TN"
32,0.1,"TN","TN"
32,0.2,"TN","TN"
32,0.3,"TN","TN"
32,0.4,"TN","TN"
32,0.5,"TN","FN"
32,0.6,"TN","FN"
32,0.7,"TN","FN"
32,0.8,"TN","FN"
32,0.9,"TN","FN"
32,1,"TN","FN"
33,0,"TN","TN"
33,0.1,"TN","TN"
33,0.2,"TN","TN"
33,0.3,"TN","TN"
33,0.4,"TN","TN"
33,0.5,"TN","FN"
33,0.6,"TN","FN"
33,0.7,"TN","FN"
33,0.8,"TN","FN"
33,0.9,"TN","FN"
33,1,"TN","TP"
34,0,"TN","TN"
34,0.1,"TN","TN"
34,0.2,"TN","TN"
34,0.3,"TN","TN"
34,0.4,"TN","TN"
34,0.5,"TN","FN"
34,0.6,"TN","FN"
34,0.7,"TN","FN"
34,0.8,"TN","FN"
34,0.9,"TN","FN"
34,1,"TN","TP"
35,0,"TN","TN"
35,0.1,"TN","TN"
35,0.2,"TN","TN"
35,0.3,"TN","TN"
35,0.4,"TN","TN"
35,0.5,"TN","FN"
35,0.6,"TN","FN"
35,0.7,"TN","FN"
35,0.8,"TN","FN"
35,0.9,"TN","FN"
35,1,"TN","FN"
36,0,"TN","TN"
36,0.1,"TN","TN"
36,0.2,"TN","TN"
36,0.3,"TN","TN"
36,0.4,"TN","TN"
36,0.5,"TN","FN"
36,0.6,"TN","FN"
36,0.7,"TN","FN"
36,0.8,"TN","FN"
36,0.9,"TN","FN"
36,1,"TN","TP"
37,0,"TN","TN"
37,0.1,"TN","TN"
37,0.2,"TN","TN"
37,0.3,"TN","TN"
37,0.4,"TN","TN"
37,0.5,"TN","FN"
37,0.6,"TN","FN"
37,0.7,"TN","FN"
37,0.8,"FP","TP"
37,0.9,"TN","TP"
37,1,"TN","TP"
38,0,"TN","TN"
38,0.1,"TN","TN"
38,0.2,"TN","TN"
38,0.3,"TN","TN"
38,0.4,"TN","TN"
38,0.5,"TN","FN"
38,0.6,"TN","FN"
38,0.7,"TN","FN"
38,0.8,"TN","FN"
38,0.9,"TN","FN"
38,1,"TN","FN"
39,0,"TN","TN"
39,0.1,"TN","TN"
39,0.2,"TN","TN"
39,0.3,"TN","TN"
39,0.4,"TN","TN"
39,0.5,"TN","FN"
39,0.6,"TN","FN"
39,0.7,"TN","FN"
39,0.8,"TN","FN"
39,0.9,"TN","FN"
39,1,"TN","FN"
40,0,"TN","TN"
40,0.1,"TN","TN"
40,0.2,"TN","TN"
40,0.3,"TN","TN"
40,0.4,"TN","TN"
40,0.5,"TN","FN"
40,0.6,"TN","FN"
40,0.7,"TN","FN"
40,0.8,"TN","FN"
40,0.9,"TN","FN"
40,1,"TN","FN"
41,0,"TN","TN"
41,0.1,"TN","TN"
41,0.2,"TN","TN"
41,0.3,"TN","TN"
41,0.4,"TN","TN"
41,0.5,"TN","FN"
41,0.6,"TN","FN"
41,0.7,"TN","FN"
41,0.8,"TN","FN"
41,0.9,"TN","FN"
41,1,"TN","FN"
42,0,"TN","TN"
42,0.1,"TN","TN"
42,0.2,"TN","TN"
42,0.3,"TN","TN"
42,0.4,"TN","TN"
42,0.5,"TN","FN"
42,0.6,"TN","FN"
42,0.7,"TN","FN"
42,0.8,"TN","FN"
42,0.9,"TN","FN"
42,1,"TN","FN"
43,0,"TN","TN"
43,0.1,"TN","TN"
43,0.2,"TN","TN"
43,0.3,"TN","TN"
43,0.4,"TN","TN"
43,0.5,"TN","FN"
43,0.6,"TN","FN"
43,0.7,"TN","FN"
43,0.8,"TN","FN"
43,0.9,"TN","FN"
43,1,"TN","TP"
44,0,"TN","TN"
44,0.1,"TN","TN"
44,0.2,"TN","TN"
44,0.3,"TN","TN"
44,0.4,"TN","TN"
44,0.5,"TN","FN"
44,0.6,"TN","FN"
44,0.7,"TN","FN"
44,0.8,"TN","FN"
44,0.9,"TN","FN"
44,1,"TN","FN"
45,0,"TN","TN"
45,0.1,"TN","TN"
45,0.2,"TN","TN"
45,0.3,"TN","TN"
45,0.4,"TN","TN"
45,0.5,"TN","FN"
45,0.6,"TN","FN"
45,0.7,"TN","FN"
45,0.8,"TN","FN"
45,0.9,"TN","FN"
45,1,"TN","TP"
46,0,"TN","TN"
46,0.1,"TN","TN"
46,0.2,"TN","TN"
46,0.3,"TN","TN"
46,0.4,"TN","TN"
46,0.5,"TN","FN"
46,0.6,"TN","FN"
46,0.7,"TN","FN"
46,0.8,"TN","FN"
46,0.9,"TN","FN"
46,1,"TN","FN"
47,0,"TN","FP"
47,0.1,"TN","TN"
47,0.2,"TN","TN"
47,0.3,"TN","TN"
47,0.4,"TN","TN"
47,0.5,"TN","FN"
47,0.6,"TN","FN"
47,0.7,"TN","FN"
47,0.8,"TN","TP"
47,0.9,"TN","FN"
47,1,"TN","TP"
48,0,"TN","TN"
48,0.1,"TN","TN"
48,0.2,"TN","TN"
48,0.3,"TN","TN"
48,0.4,"TN","TN"
48,0.5,"TN","FN"
48,0.6,"TN","FN"
48,0.7,"TN","FN"
48,0.8,"TN","FN"
48,0.9,"TN","FN"
48,1,"TN","TP"
49,0,"TN","TN"
49,0.1,"TN","TN"
49,0.2,"TN","TN"
49,0.3,"TN","TN"
49,0.4,"TN","TN"
49,0.5,"TN","FN"
49,0.6,"TN","FN"
49,0.7,"TN","FN"
49,0.8,"TN","FN"
49,0.9,"TN","FN"
49,1,"TN","TP"
50,0,"TN","TN"
50,0.1,"TN","TN"
50,0.2,"TN","TN"
50,0.3,"TN","TN"
50,0.4,"TN","TN"
50,0.5,"TN","FN"
50,0.6,"TN","FN"
50,0.7,"TN","FN"
50,0.8,"TN","FN"
50,0.9,"TN","FN"
50,1,"TN","FN"
51,0,"TN","TN"
51,0.1,"TN","TN"
51,0.2,"TN","TN"
51,0.3,"TN","TN"
51,0.4,"TN","TN"
51,0.5,"TN","FN"
51,0.6,"TN","FN"
51,0.7,"TN","FN"
51,0.8,"TN","TP"
51,0.9,"TN","TP"
51,1,"TN","TP"
52,0,"TN","TN"
52,0.1,"TN","TN"
52,0.2,"TN","TN"
52,0.3,"TN","TN"
52,0.4,"TN","TN"
52,0.5,"TN","FN"
52,0.6,"TN","FN"
52,0.7,"TN","FN"
52,0.8,"TN","FN"
52,0.9,"TN","FN"
52,1,"TN","FN"
53,0,"TN","TN"
53,0.1,"TN","TN"
53,0.2,"TN","TN"
53,0.3,"TN","TN"
53,0.4,"TN","TN"
53,0.5,"TN","FN"
53,0.6,"TN","FN"
53,0.7,"TN","FN"
53,0.8,"TN","FN"
53,0.9,"TN","FN"
53,1,"TN","FN"
54,0,"TN","TN"
54,0.1,"TN","TN"
54,0.2,"TN","TN"
54,0.3,"TN","TN"
54,0.4,"TN","TN"
54,0.5,"TN","FN"
54,0.6,"TN","FN"
54,0.7,"TN","FN"
54,0.8,"TN","FN"
54,0.9,"TN","FN"
54,1,"TN","FN"
55,0,"TN","TN"
55,0.1,"TN","TN"
55,0.2,"TN","TN"
55,0.3,"TN","TN"
55,0.4,"TN","TN"
55,0.5,"TN","FN"
55,0.6,"TN","FN"
55,0.7,"TN","FN"
55,0.8,"TN","FN"
55,0.9,"TN","FN"
55,1,"TN","FN"
56,0,"TN","TN"
56,0.1,"TN","TN"
56,0.2,"TN","TN"
56,0.3,"TN","TN"
56,0.4,"TN","TN"
56,0.5,"TN","FN"
56,0.6,"TN","FN"
56,0.7,"TN","FN"
56,0.8,"TN","FN"
56,0.9,"TN","FN"
56,1,"TN","FN"
57,0,"TN","TN"
57,0.1,"TN","TN"
57,0.2,"TN","TN"
57,0.3,"TN","TN"
57,0.4,"TN","TN"
57,0.5,"TN","FN"
57,0.6,"TN","FN"
57,0.7,"TN","FN"
57,0.8,"TN","FN"
57,0.9,"TN","FN"
57,1,"TN","TP"
58,0,"TN","TN"
58,0.1,"TN","TN"
58,0.2,"TN","TN"
58,0.3,"TN","TN"
58,0.4,"TN","TN"
58,0.5,"TN","FN"
58,0.6,"TN","FN"
58,0.7,"TN","FN"
58,0.8,"TN","FN"
58,0.9,"TN","FN"
58,1,"TN","FN"
59,0,"TN","TN"
59,0.1,"TN","TN"
59,0.2,"TN","TN"
59,0.3,"TN","TN"
59,0.4,"TN","TN"
59,0.5,"TN","FN"
59,0.6,"TN","FN"
59,0.7,"TN","FN"
59,0.8,"TN","FN"
59,0.9,"TN","FN"
59,1,"TN","TP"
60,0,"TN","TN"
60,0.1,"TN","TN"
60,0.2,"TN","TN"
60,0.3,"TN","TN"
60,0.4,"TN","TN"
