"job.id","llk","rss","family.dispersion","family.name","penalty.name","penalty.alpha","penalty.lambda","penalty.adaptive","penalty.penalize_intercept","link_function.name","working_covariance.estimate","working_covariance.ratio","working_covariance.name","kernel.name","kernel.scale","control.max_iter","control.max_rounds","control.rel_tol","control.verbose","control.update_method","control.backtracking_fraction","control.two_step_estimation","control.stepsize_factor","penalty","df","df_kernel","df_logn","df_logn_kernel","df_max","aic","aich","bic","bich","ebic","ebich"
1,-1297.8478422325,928.4492438623,1.09875650161219,"gaussian","adaptive_sparse_group_lasso",1,0.102697909761049,0.5,TRUE,"identity",FALSE,0.312918940695399,"compound_symmetry","gaussian",0.2,1000,50,1e-06,1,"PGD",0.9,TRUE,1,0.0105838522333878,2,0.282094791773878,12.9623743961588,1.82830915308973,40,2599.69568446501,2596.25987404856,2608.65805886117,2597.5239936181,2616.03581776939,2598.56460729959
2,-1277.50790688381,893.273705791448,1.05712864590704,"gaussian","adaptive_sparse_group_lasso",1,0.0217455543708357,0.5,TRUE,"identity",FALSE,0.276756892261133,"compound_symmetry","gaussian",0.2,1000,50,1e-06,1,"PGD",0.9,TRUE,1,0.00388988611743689,13,1.83361614653021,87.3408578065481,12.319200548145,40,2581.01581376762,2558.68304606068,2642.35667157416,2567.33501431576,2690.31210447765,2574.09900324543
3,-1297.59311832915,931.070967777977,1.10185913346506,"gaussian","adaptive_sparse_group_lasso",1,0.00810164254459248,0.5,TRUE,"identity",FALSE,0.299571226873755,"compound_symmetry","gaussian",0.2,1000,50,1e-06,1,"PGD",0.9,TRUE,1,0.000609742301517216,11,1.55152135475633,75.1921662497301,10.6056592406222,40,2617.1862366583,2598.28927936781,2670.37840290803,2605.79189589892,2710.95607690328,2611.5152711471
4,-1271.46569089027,879.095084879789,1.04034921287549,"gaussian","adaptive_sparse_group_lasso",1,0.120465165500298,0.5,TRUE,"identity",FALSE,0.282993334371815,"compound_symmetry","gaussian",0.2,1000,50,1e-06,1,"PGD",0.9,TRUE,1,0.0372167737401013,3,0.423142187660817,20.5053127284552,2.89222096219591,40,2548.93138178054,2543.77766615586,2563.436694509,2545.82360274274,2574.50333287134,2547.38452326497
5,-1290.56149426619,932.201723373744,1.10319730576774,"gaussian","adaptive_sparse_group_lasso",1,0.0571771886107404,0.5,TRUE,"identity",FALSE,0.236030807222178,"compound_symmetry","gaussian",0.2,1000,50,1e-06,1,"PGD",0.9,TRUE,1,0.0223707768512568,9,1.26942656298245,60.9526354559496,8.5972105035076,40,2599.12298853239,2583.66184165835,2642.07562398834,2589.7201990359,2675.27553907536,2594.40296060259
6,-1247.25798296825,839.966617291696,0.994043334073013,"gaussian","adaptive_sparse_group_lasso",1,0.00763511066960148,0.5,TRUE,"identity",FALSE,0.24164063400277,"compound_symmetry","gaussian",0.2,1000,50,1e-06,1,"PGD",0.9,TRUE,1,0.000489321980694842,11,1.55152135475633,74.7920920302381,10.5492298138014,40,2516.51596593651,2497.61900864602,2569.30805796675,2505.06519575031,2609.885731962,2510.78857099849
7,-1262.52310938398,862.322533093747,1.0205000391642,"gaussian","adaptive_sparse_group_lasso",1,0.00621238274198644,0.5,TRUE,"identity",FALSE,0.276016713558593,"compound_symmetry","gaussian",0.2,1000,50,1e-06,1,"PGD",0.9,TRUE,1,0.000438593863448631,17,2.39780573007796,114.981672682091,16.2178655065333,40,2559.04621876796,2529.84183022812,2640.02789145005,2541.26408427449,2702.73884216999,2550.10930056714
8,-1262.45444091215,881.146124504512,1.04277647870357,"gaussian","adaptive_sparse_group_lasso",1,0.0108587797823954,0.5,TRUE,"identity",FALSE,0.203956280455146,"compound_symmetry","gaussian",0.2,1000,50,1e-06,1,"PGD",0.9,TRUE,1,0.00117623273047172,12,1.69256875064327,80.4361384178744,11.3453078590426,40,2548.9088818243,2528.29401932558,2605.34502024217,2536.25418968334,2649.61157369154,2542.49787177226
9,-1252.87397036058,839.63446472208,0.99365025410897,"gaussian","adaptive_sparse_group_lasso",1,0.0037399836752613,0.5,TRUE,"identity",FALSE,0.290162245265065,"compound_symmetry","gaussian",0.2,1000,50,1e-06,1,"PGD",0.9,TRUE,1,0.000167639176881459,14,1.97466354241715,92.5182380474848,13.0494565486457,40,2533.74794072117,2509.697267806,2598.26617876865,2518.79739726981,2649.91049112625,2526.08169304023
10,-1309.67768074104,950.984997373885,1.12542603239513,"gaussian","adaptive_sparse_group_lasso",1,0.0175198399840159,0.5,TRUE,"identity",FALSE,0.329097770784558,"compound_symmetry","gaussian",0.2,1000,50,1e-06,1,"PGD",0.9,TRUE,1,0.00377219583388898,14,1.97466354241715,91.6304965327906,12.9242429197773,40,2647.35536148207,2623.30468856691,2710.98585801486,2632.27960440185,2762.63017037246,2639.56390017226
