"job.id","llk","rss","family.dispersion","family.name","penalty.name","penalty.alpha","penalty.lambda","penalty.adaptive.x","penalty.penalize_intercept","link_function.name","working_covariance.estimate","working_covariance.ratio","working_covariance.name","kernel.name","kernel.scale","control.max_iter","control.max_rounds","control.rel_tol","control.verbose","control.update_method","control.backtracking_fraction","df","df_kernel","df_logn","df_logn_kernel","df_max","aic","aich","bic","bich","ebic","ebich","problem","algorithm","seed","observation_variance","random_effect_ar1_correlation","random_effect_variance_ratio","prop_observed","cross_sectional","independent","penalty.adaptive.y"
1,-698.972839314306,482.923168764224,1.20429717896315,"gaussian","adaptive_sparse_group_lasso",1,4.9582576963706,1,TRUE,"identity",TRUE,1.48722526469201,"compound_symmetry","gaussian",0.316227766016838,1000,50,1e-06,1,"PGD",0.9,6,0.973158608810602,34.1541983491572,5.53957535841787,22,1409.94567862861,1399.89199584623,1432.09987697777,1403.48525398703,1450.64613169792,1406.49332856071,"synthetic","LSVCMM",1,1,1,2,0.4,FALSE,FALSE,1
2,-880.047484164865,609.216196026357,1.18065154268674,"gaussian","adaptive_sparse_group_lasso",1,4.5698370494324,1,TRUE,"identity",TRUE,1.4679126747437,"compound_symmetry","gaussian",0.316227766016838,1000,50,1e-06,1,"PGD",0.9,7,1.13535171027904,41.4578506732508,6.72417738090974,22,1774.09496832973,1762.36567175029,1801.55281900298,1766.81914571064,1823.19011617649,1770.3285660466,"synthetic","LSVCMM",1,1,1,2,0.5,FALSE,FALSE,1
3,-1078.97636274536,742.454928539355,1.15109291246412,"gaussian","adaptive_sparse_group_lasso",1,3.71321429339903,1,TRUE,"identity",TRUE,1.5504187282343,"compound_symmetry","gaussian",0.316227766016838,1000,50,1e-06,1,"PGD",0.9,8,1.29754481174747,49.3030874811009,7.99662067052926,22,2173.95272549073,2160.54781511422,2207.25581297183,2165.94934616126,2231.9841525987,2169.96011225951,"synthetic","LSVCMM",1,1,1,2,0.6,FALSE,FALSE,1
4,-1237.91638381607,853.043538052671,1.13890993064442,"gaussian","adaptive_sparse_group_lasso",1,3.26004905102489,1,TRUE,"identity",TRUE,1.57833007273269,"compound_symmetry","gaussian",0.316227766016838,1000,50,1e-06,1,"PGD",0.9,6,0.973158608810602,37.5986585281441,6.09824303773226,22,2487.83276763214,2477.77908484976,2513.43142616028,2481.93101066987,2531.97768088043,2484.93908524355,"synthetic","LSVCMM",1,1,1,2,0.7,FALSE,FALSE,1
5,-1404.28843185429,960.508543372918,1.1142790526368,"gaussian","adaptive_sparse_group_lasso",1,0.853176643105632,1,TRUE,"identity",TRUE,1.61856716661298,"compound_symmetry","gaussian",0.316227766016838,1000,50,1e-06,1,"PGD",0.9,11,1.78412411615277,70.9563803674458,11.5086354007699,22,2830.57686370858,2812.14511194088,2879.53324407603,2820.08549910935,2913.53471106297,2825.60030249444,"synthetic","LSVCMM",1,1,1,2,0.8,FALSE,FALSE,1
6,-1576.03378302831,1080.04394067175,1.1054697448022,"gaussian","adaptive_sparse_group_lasso",1,6.22299081975598,1,TRUE,"identity",TRUE,1.61531291272521,"compound_symmetry","gaussian",0.151212607266611,1000,50,1e-06,1,"PGD",0.9,7,2.37433730873982,46.5970009346735,15.8052853992256,22,3166.06756605662,3156.8162406741,3198.6645669913,3167.87285145585,3220.30186416481,3175.21202887576,"synthetic","LSVCMM",1,1,1,2,0.9,FALSE,FALSE,1
7,-1768.62607747645,1231.80672445316,1.11982429495742,"gaussian","adaptive_sparse_group_lasso",1,9.135323725222,1,TRUE,"identity",TRUE,1.57953383732845,"compound_symmetry","gaussian",0.151212607266611,1000,50,1e-06,1,"PGD",0.9,6,2.03514626463413,40.9119010447383,13.8769504317134,22,3549.25215495291,3541.32244748218,3578.16405599765,3551.12910538462,3596.7103107178,3557.4198288874,"synthetic","LSVCMM",1,1,1,2,1,FALSE,FALSE,1
8,-727.982913505904,470.614614090023,1.12051098592863,"gaussian","adaptive_sparse_group_lasso",1,0.044098039696716,1,TRUE,"identity",TRUE,1.98024519522625,"compound_symmetry","gaussian",1.38300578436248,1000,50,1e-06,1,"PGD",0.9,15,1.36363636363636,75.7332128421403,6.88483753110367,22,1485.96582701181,1458.69309973908,1531.69903985395,1462.85066454291,1578.06467665432,1467.06572243385,"synthetic","LSVCMM",2,1,1,2,0.4,FALSE,FALSE,1
9,-875.625417050383,544.399380647311,1.04091659779601,"gaussian","adaptive_sparse_group_lasso",1,0.043897755311506,1,TRUE,"identity",TRUE,2.17809040627583,"compound_symmetry","gaussian",0.661320519549568,1000,50,1e-06,1,"PGD",0.9,17,1.54545454545455,97.4097440417624,8.85543127652386,22,1785.25083410077,1754.34174319167,1848.66057814253,1760.10626537729,1901.20829984962,1764.88333098702,"synthetic","LSVCMM",2,1,1,2,0.5,FALSE,FALSE,1
10,-1017.70559671947,619.887730767971,0.993409824948671,"gaussian","adaptive_sparse_group_lasso",1,0.237897077988526,1,TRUE,"identity",TRUE,2.27492479298664,"compound_symmetry","gaussian",0.457305051927326,1000,50,1e-06,1,"PGD",0.9,16,1.79451198011627,96.9383415442724,10.8723134521125,22,2067.41119343894,2039.00021739917,2132.34953498321,2046.28350689105,2181.80621423695,2051.83041960465,"synthetic","LSVCMM",2,1,1,2,0.6,FALSE,FALSE,1
