"job.id","llk","rss","family.dispersion","family.name","penalty.name","penalty.alpha","penalty.lambda","penalty.adaptive","penalty.penalize_intercept","link_function.name","working_covariance.estimate","working_covariance.ratio","working_covariance.name","kernel.name","kernel.scale","control.max_iter","control.max_rounds","control.rel_tol","control.verbose","control.update_method","control.backtracking_fraction","df","df_kernel","df_logn","df_logn_kernel","df_max","aic","aich","bic","bich","ebic","ebich"
1,-1553.89515603364,1079.83637350205,1.12835566719127,"gaussian","adaptive_sparse_group_lasso",1,1019.30132550368,1,TRUE,"identity",TRUE,1.63343825789605,"compound_symmetry","gaussian",0.0166666666666667,1000,50,1e-06,1,"PGD",0.9,0,0,0,0,62,3107.79031206727,3107.79031206727,3107.79031206727,3107.79031206727,3107.79031206727,3107.79031206727
2,-1606.68810092389,1151.63096592025,1.19093171243045,"gaussian","adaptive_sparse_group_lasso",1,644.027754196203,1,TRUE,"identity",TRUE,2.04998191343019,"compound_symmetry","gaussian",0.0166666666666667,1000,50,1e-06,1,"PGD",0.9,2,2,16.0236829318358,16.0236829318358,62,3217.37620184778,3217.37620184778,3229.39988477962,3229.39988477962,3237.65415354971,3237.65415354971
3,-1535.78144351161,1087.45079966911,1.15440636907549,"gaussian","adaptive_sparse_group_lasso",1,933.460963131538,1,TRUE,"identity",TRUE,1.43148005522897,"compound_symmetry","gaussian",0.0166666666666667,1000,50,1e-06,1,"PGD",0.9,0,0,0,0,62,3071.56288702321,3071.56288702321,3071.56288702321,3071.56288702321,3071.56288702321,3071.56288702321
4,-1512.03759817159,982.677162541127,1.02683089084757,"gaussian","adaptive_sparse_group_lasso",1,389.846780202326,1,TRUE,"identity",TRUE,1.75128273768239,"compound_symmetry","gaussian",0.0166666666666667,1000,50,1e-06,1,"PGD",0.9,0,0,0,0,62,3024.07519634318,3024.07519634318,3024.07519634318,3024.07519634318,3024.07519634318,3024.07519634318
5,-1560.47385463953,1058.29253283615,1.09440799672818,"gaussian","adaptive_sparse_group_lasso",1,677.450744301122,1,TRUE,"identity",TRUE,1.83070404139871,"compound_symmetry","gaussian",0.0166666666666667,1000,50,1e-06,1,"PGD",0.9,0,0,0,0,62,3120.94770927907,3120.94770927907,3120.94770927907,3120.94770927907,3120.94770927907,3120.94770927907
6,-1485.70987044093,978.004097595869,1.03822091039901,"gaussian","adaptive_sparse_group_lasso",1,407.375365478955,1,TRUE,"identity",TRUE,1.42810641054952,"compound_symmetry","gaussian",0.0166666666666667,1000,50,1e-06,1,"PGD",0.9,0,0,0,0,62,2971.41974088187,2971.41974088187,2971.41974088187,2971.41974088187,2971.41974088187,2971.41974088187
7,-2001.88377781429,1378.25145990992,1.09908409881174,"gaussian","adaptive_sparse_group_lasso",1,975.980772441419,1,TRUE,"identity",TRUE,2.07065854021315,"compound_symmetry","gaussian",0.0166666666666667,1000,50,1e-06,1,"PGD",0.9,0,0,0,0,62,4003.76755562857,4003.76755562857,4003.76755562857,4003.76755562857,4003.76755562857,4003.76755562857
8,-1931.9712345756,1283.71237673112,1.05829544660438,"gaussian","adaptive_sparse_group_lasso",1,791.020464263146,1,TRUE,"identity",TRUE,2.81131836143581,"compound_symmetry","gaussian",0.0166666666666667,1000,50,1e-06,1,"PGD",0.9,0,0,0,0,62,3863.94246915119,3863.94246915119,3863.94246915119,3863.94246915119,3863.94246915119,3863.94246915119
9,-1924.83943124978,1358.24699726315,1.12998918241526,"gaussian","adaptive_sparse_group_lasso",1,451.035861087278,1,TRUE,"identity",TRUE,1.48965561895761,"compound_symmetry","gaussian",0.0166666666666667,1000,50,1e-06,1,"PGD",0.9,1,1,8.08189250844918,8.08189250844918,62,3851.67886249956,3851.67886249956,3857.76075500801,3857.76075500801,3861.88788939305,3861.88788939305
10,-1995.00460716132,1352.58019695355,1.06754553824274,"gaussian","adaptive_sparse_group_lasso",1,1138.38538542754,1,TRUE,"identity",TRUE,1.7452293471836,"compound_symmetry","gaussian",0.0166666666666667,1000,50,1e-06,1,"PGD",0.9,0,0,0,0,62,3990.00921432264,3990.00921432264,3990.00921432264,3990.00921432264,3990.00921432264,3990.00921432264
11,-1995.29195564651,1389.58483590733,1.11166786872587,"gaussian","adaptive_sparse_group_lasso",1,876.834146083245,1,TRUE,"identity",TRUE,1.75920084327649,"compound_symmetry","gaussian",0.0166666666666667,1000,50,1e-06,1,"PGD",0.9,0,0,0,0,62,3990.58391129302,3990.58391129302,3990.58391129302,3990.58391129302,3990.58391129302,3990.58391129302
12,-1907.87688869664,1214.03373767264,0.985416994864152,"gaussian","adaptive_sparse_group_lasso",1,255.667647670708,1,TRUE,"identity",TRUE,2.34079052171299,"compound_symmetry","gaussian",0.0166666666666667,1000,50,1e-06,1,"PGD",0.9,4,4,31.7953017563062,31.7953017563062,62,3823.75377739329,3823.75377739329,3847.54907914959,3847.54907914959,3864.05761668978,3864.05761668978
13,-1899.49384305335,1232.317614276,1.01258637163188,"gaussian","adaptive_sparse_group_lasso",1,861.716739000732,1,TRUE,"identity",TRUE,2.2083541625046,"compound_symmetry","gaussian",0.0166666666666667,1000,50,1e-06,1,"PGD",0.9,0,0,0,0,62,3798.98768610671,3798.98768610671,3798.98768610671,3798.98768610671,3798.98768610671,3798.98768610671
14,-1946.28481740051,1406.48955889513,1.16431254875425,"gaussian","adaptive_sparse_group_lasso",1,753.485348509142,1,TRUE,"identity",TRUE,1.31414791593582,"compound_symmetry","gaussian",0.0166666666666667,1000,50,1e-06,1,"PGD",0.9,0,0,0,0,62,3892.56963480102,3892.56963480102,3892.56963480102,3892.56963480102,3892.56963480102,3892.56963480102
15,-1899.01429758118,1225.80653860871,1.00640930920255,"gaussian","adaptive_sparse_group_lasso",1,853.081123007585,1,TRUE,"identity",TRUE,2.27813803066223,"compound_symmetry","gaussian",0.0166666666666667,1000,50,1e-06,1,"PGD",0.9,0,0,0,0,62,3798.02859516236,3798.02859516236,3798.02859516236,3798.02859516236,3798.02859516236,3798.02859516236
16,-1949.71413004863,1321.01053457573,1.07661820258821,"gaussian","adaptive_sparse_group_lasso",1,983.26298348743,1,TRUE,"identity",TRUE,2.11735538808543,"compound_symmetry","gaussian",0.0166666666666667,1000,50,1e-06,1,"PGD",0.9,0,0,0,0,62,3899.42826009726,3899.42826009726,3899.42826009726,3899.42826009726,3899.42826009726,3899.42826009726
17,-1843.99331080682,1171.68985384208,0.987101814525761,"gaussian","adaptive_sparse_group_lasso",1,974.700170100659,1,TRUE,"identity",TRUE,2.37268479213655,"compound_symmetry","gaussian",0.0166666666666667,1000,50,1e-06,1,"PGD",0.9,0,0,0,0,62,3687.98662161363,3687.98662161363,3687.98662161363,3687.98662161363,3687.98662161363,3687.98662161363
18,-1936.33613705391,1348.80884588746,1.10467554945738,"gaussian","adaptive_sparse_group_lasso",1,1120.9113735167,1,TRUE,"identity",TRUE,1.3831968963951,"compound_symmetry","gaussian",0.0166666666666667,1000,50,1e-06,1,"PGD",0.9,0,0,0,0,62,3872.67227410782,3872.67227410782,3872.67227410782,3872.67227410782,3872.67227410782,3872.67227410782
19,-1962.73737583308,1308.24937739483,1.04326106650305,"gaussian","adaptive_sparse_group_lasso",1,1082.33822457114,1,TRUE,"identity",TRUE,1.79778168394746,"compound_symmetry","gaussian",0.0166666666666667,1000,50,1e-06,1,"PGD",0.9,0,0,0,0,62,3925.47475166615,3925.47475166615,3925.47475166615,3925.47475166615,3925.47475166615,3925.47475166615
20,-1990.51163128921,1331.11917070238,1.03831448572729,"gaussian","adaptive_sparse_group_lasso",1,390.416575187077,1,TRUE,"identity",TRUE,1.44145834064978,"compound_symmetry","gaussian",0.0166666666666667,1000,50,1e-06,1,"PGD",0.9,1,1,8.05976537254133,8.05976537254133,62,3983.02326257841,3983.02326257841,3989.08302795095,3989.08302795095,3993.210162336,3993.210162336
21,-1992.87750133049,1385.58659379075,1.12011850751071,"gaussian","adaptive_sparse_group_lasso",1,833.191753861555,1,TRUE,"identity",TRUE,2.2755831288597,"compound_symmetry","gaussian",0.0166666666666667,1000,50,1e-06,1,"PGD",0.9,0,0,0,0,62,3985.75500266098,3985.75500266098,3985.75500266098,3985.75500266098,3985.75500266098,3985.75500266098
22,-1998.65877177927,1371.08009997157,1.08643431059554,"gaussian","adaptive_sparse_group_lasso",1,986.035587191545,1,TRUE,"identity",TRUE,1.73971736936592,"compound_symmetry","gaussian",0.0166666666666667,1000,50,1e-06,1,"PGD",0.9,0,0,0,0,62,3997.31754355853,3997.31754355853,3997.31754355853,3997.31754355853,3997.31754355853,3997.31754355853
23,-1894.90110091811,1231.8943078741,1.01978005618717,"gaussian","adaptive_sparse_group_lasso",1,999.383614769011,1,TRUE,"identity",TRUE,2.40787060085895,"compound_symmetry","gaussian",0.0166666666666667,1000,50,1e-06,1,"PGD",0.9,0,0,0,0,62,3789.80220183621,3789.80220183621,3789.80220183621,3789.80220183621,3789.80220183621,3789.80220183621
24,-1932.91970681196,1276.87222508034,1.02560018078742,"gaussian","adaptive_sparse_group_lasso",1,957.13912177883,1,TRUE,"identity",TRUE,1.5932701703785,"compound_symmetry","gaussian",0.0166666666666667,1000,50,1e-06,1,"PGD",0.9,0,0,0,0,62,3865.83941362393,3865.83941362393,3865.83941362393,3865.83941362393,3865.83941362393,3865.83941362393
25,-2023.72451351175,1421.6243242904,1.12648520149794,"gaussian","adaptive_sparse_group_lasso",1,1088.01555920688,1,TRUE,"identity",TRUE,1.83539215794477,"compound_symmetry","gaussian",0.0166666666666667,1000,50,1e-06,1,"PGD",0.9,0,0,0,0,62,4047.4490270235,4047.4490270235,4047.4490270235,4047.4490270235,4047.4490270235,4047.4490270235
26,-1965.04138271751,1306.90768567749,1.0421911369039,"gaussian","adaptive_sparse_group_lasso",1,951.054158103509,1,TRUE,"identity",TRUE,1.91828958589431,"compound_symmetry","gaussian",0.0166666666666667,1000,50,1e-06,1,"PGD",0.9,0,0,0,0,62,3930.08276543502,3930.08276543502,3930.08276543502,3930.08276543502,3930.08276543502,3930.08276543502
27,-1898.70438876904,1246.88032537418,1.03475545674206,"gaussian","adaptive_sparse_group_lasso",1,879.113519919999,1,TRUE,"identity",TRUE,2.38930372423039,"compound_symmetry","gaussian",0.0166666666666667,1000,50,1e-06,1,"PGD",0.9,0,0,0,0,62,3797.40877753807,3797.40877753807,3797.40877753807,3797.40877753807,3797.40877753807,3797.40877753807
28,-1932.75936592021,1244.85695945074,0.994294696046919,"gaussian","adaptive_sparse_group_lasso",1,671.630099633674,1,TRUE,"identity",TRUE,1.91256241224437,"compound_symmetry","gaussian",0.0166666666666667,1000,50,1e-06,1,"PGD",0.9,0,0,0,0,62,3865.51873184042,3865.51873184042,3865.51873184042,3865.51873184042,3865.51873184042,3865.51873184042
29,-2008.05092896192,1351.53404591725,1.06671984681709,"gaussian","adaptive_sparse_group_lasso",1,369.534613812879,1,TRUE,"identity",TRUE,2.30266614067658,"compound_symmetry","gaussian",0.0166666666666667,1000,50,1e-06,1,"PGD",0.9,3,3,24.0727205568165,24.0727205568165,62,4022.10185792385,4022.10185792385,4040.17457848066,4040.17457848066,4052.5559816358,4052.5559816358
30,-1981.37971055622,1384.4527761749,1.11559450134964,"gaussian","adaptive_sparse_group_lasso",1,950.88703591763,1,TRUE,"identity",TRUE,1.67375977920678,"compound_symmetry","gaussian",0.0166666666666667,1000,50,1e-06,1,"PGD",0.9,0,0,0,0,62,3962.75942111244,3962.75942111244,3962.75942111244,3962.75942111244,3962.75942111244,3962.75942111244
31,-1978.94120938348,1409.65390624987,1.158302305875,"gaussian","adaptive_sparse_group_lasso",1,837.275992184228,1,TRUE,"identity",TRUE,2.11273305663913,"compound_symmetry","gaussian",0.0166666666666667,1000,50,1e-06,1,"PGD",0.9,1,1,7.81988917692342,7.81988917692342,62,3959.88241876697,3959.88241876697,3965.70230794389,3965.70230794389,3969.82944232894,3969.82944232894
32,-1936.66458351047,1241.48445315233,0.989230639962017,"gaussian","adaptive_sparse_group_lasso",1,361.905934263125,1,TRUE,"identity",TRUE,2.03085071747799,"compound_symmetry","gaussian",0.0166666666666667,1000,50,1e-06,1,"PGD",0.9,1,1,7.76422976931947,7.76422976931947,62,3875.32916702093,3875.32916702093,3881.09339679025,3881.09339679025,3885.2205311753,3885.2205311753
33,-2048.22864833729,1421.33294844876,1.12180974621054,"gaussian","adaptive_sparse_group_lasso",1,1016.31987876167,1,TRUE,"identity",TRUE,2.72558203383169,"compound_symmetry","gaussian",0.0166666666666667,1000,50,1e-06,1,"PGD",0.9,0,0,0,0,62,4096.45729667458,4096.45729667458,4096.45729667458,4096.45729667458,4096.45729667458,4096.45729667458
34,-1963.25542647811,1318.28579000355,1.05462863200284,"gaussian","adaptive_sparse_group_lasso",1,1189.80330120828,1,TRUE,"identity",TRUE,1.80292861541318,"compound_symmetry","gaussian",0.0166666666666667,1000,50,1e-06,1,"PGD",0.9,0,0,0,0,62,3926.51085295622,3926.51085295622,3926.51085295622,3926.51085295622,3926.51085295622,3926.51085295622
35,-1964.17986941307,1259.77187352358,1.00380228966022,"gaussian","adaptive_sparse_group_lasso",1,895.470065363487,1,TRUE,"identity",TRUE,2.96123129320311,"compound_symmetry","gaussian",0.0166666666666667,1000,50,1e-06,1,"PGD",0.9,0,0,0,0,62,3928.35973882613,3928.35973882613,3928.35973882613,3928.35973882613,3928.35973882613,3928.35973882613
36,-1959.10345265804,1270.58242481784,1.01403226242445,"gaussian","adaptive_sparse_group_lasso",1,1404.25595043107,1,TRUE,"identity",TRUE,2.47746901826729,"compound_symmetry","gaussian",0.0166666666666667,1000,50,1e-06,1,"PGD",0.9,0,0,0,0,62,3918.20690531608,3918.20690531608,3918.20690531608,3918.20690531608,3918.20690531608,3918.20690531608
37,-1991.44990010755,1354.74232505223,1.0803367823383,"gaussian","adaptive_sparse_group_lasso",1,969.597509776862,1,TRUE,"identity",TRUE,2.07389949662607,"compound_symmetry","gaussian",0.0166666666666667,1000,50,1e-06,1,"PGD",0.9,0,0,0,0,62,3982.8998002151,3982.8998002151,3982.8998002151,3982.8998002151,3982.8998002151,3982.8998002151
38,-2011.86979229444,1329.58028411411,1.03630575535004,"gaussian","adaptive_sparse_group_lasso",1,1296.0990198682,1,TRUE,"identity",TRUE,2.24082048210626,"compound_symmetry","gaussian",0.0166666666666667,1000,50,1e-06,1,"PGD",0.9,0,0,0,0,62,4023.73958458888,4023.73958458888,4023.73958458888,4023.73958458888,4023.73958458888,4023.73958458888
39,-1916.54072036462,1205.46974464022,0.958243040254546,"gaussian","adaptive_sparse_group_lasso",1,838.19681404122,1,TRUE,"identity",TRUE,1.84610487695261,"compound_symmetry","gaussian",0.0166666666666667,1000,50,1e-06,1,"PGD",0.9,0,0,0,0,62,3833.08144072924,3833.08144072924,3833.08144072924,3833.08144072924,3833.08144072924,3833.08144072924
40,-1913.77470044289,1281.20403511403,1.05709903887296,"gaussian","adaptive_sparse_group_lasso",1,815.923465454343,1,TRUE,"identity",TRUE,2.01011311507301,"compound_symmetry","gaussian",0.0166666666666667,1000,50,1e-06,1,"PGD",0.9,0,0,0,0,62,3827.54940088578,3827.54940088578,3827.54940088578,3827.54940088578,3827.54940088578,3827.54940088578
41,-1968.18074252701,1308.80592699858,1.05040604092984,"gaussian","adaptive_sparse_group_lasso",1,922.034604556078,1,TRUE,"identity",TRUE,2.36273231948142,"compound_symmetry","gaussian",0.0166666666666667,1000,50,1e-06,1,"PGD",0.9,0,0,0,0,62,3936.36148505402,3936.36148505402,3936.36148505402,3936.36148505402,3936.36148505402,3936.36148505402
