"job.id","llk","rss","family.dispersion","family.name","penalty.name","penalty.alpha","penalty.lambda","penalty.adaptive","penalty.penalize_intercept","link_function.name","working_covariance.estimate","working_covariance.ratio","working_covariance.name","kernel.name","kernel.scale","control.max_iter","control.max_rounds","control.rel_tol","control.verbose","control.update_method","control.backtracking_fraction","control.two_step_estimation","control.lambda_max_factor","control.stepsize_factor","control.update_stepsize_every_round","penalty","df","df_kernel","df_logn","df_logn_kernel","df_max","aic","aich","bic","bich","ebic","ebich"
1,-157.64397675329,107.655111876776,1.05544227330173,"gaussian","adaptive_sparse_group_lasso",1,0.129266226294962,0.5,TRUE,"identity",FALSE,0.388072394251933,"compound_symmetry","gaussian",0.2,1000,50,1e-06,1,"PGD",0.9,TRUE,10,1,TRUE,0.0283426295098986,2,0.564189583547756,8.03829323362923,2.26756065595801,20,319.28795350658,316.416332673676,323.32624674021,317.555514162538,329.317711287318,319.245675106375
2,-159.562922636123,115.468693787484,1.13204601752436,"gaussian","adaptive_sparse_group_lasso",1,0.0471220213002777,0.5,TRUE,"identity",FALSE,0.292189251984582,"compound_symmetry","gaussian",0.2,1000,50,1e-06,1,"PGD",0.9,TRUE,10,1,TRUE,0.00782768158279991,4,1.12837916709551,17.9139300272647,5.05342636089305,20,327.125845272246,321.382603606437,337.03977529951,324.179271633139,349.022704393726,327.559593520813
3,-165.285627108209,125.788975419018,1.23322524920606,"gaussian","adaptive_sparse_group_lasso",1,2.37036697788412,0.5,TRUE,"identity",FALSE,0.369578745736565,"compound_symmetry","gaussian",0.2,1000,50,1e-06,1,"PGD",0.9,TRUE,10,1,TRUE,0,0,0,0,0,20,330.571254216417,330.571254216417,330.571254216417,330.571254216417,330.571254216417,330.571254216417
4,-159.65396587373,112.136710268504,1.09937951243631,"gaussian","adaptive_sparse_group_lasso",1,0.172798348680225,0.5,TRUE,"identity",FALSE,0.383665740090044,"compound_symmetry","gaussian",0.2,1000,50,1e-06,1,"PGD",0.9,TRUE,10,1,TRUE,0.0438453994309463,2,0.564189583547756,8.67624429207559,2.44752332695236,20,323.30793174746,320.436310914556,327.984176039536,321.755455074412,333.975640586644,323.445616018249
5,-156.518966025165,106.864414082747,1.04769033414458,"gaussian","adaptive_sparse_group_lasso",1,2.2140290998152,0.5,TRUE,"identity",FALSE,0.342605582183474,"compound_symmetry","gaussian",0.2,1000,50,1e-06,1,"PGD",0.9,TRUE,10,1,TRUE,0,0,0,0,0,20,313.037932050329,313.037932050329,313.037932050329,313.037932050329,313.037932050329,313.037932050329
6,-168.570861025203,133.256648104615,1.30643772651583,"gaussian","adaptive_sparse_group_lasso",1,3.07584215871898,0.5,TRUE,"identity",FALSE,0.391002329103121,"compound_symmetry","gaussian",0.2,1000,50,1e-06,1,"PGD",0.9,TRUE,10,1,TRUE,0,0,0,0,0,20,337.141722050406,337.141722050406,337.141722050406,337.141722050406,337.141722050406,337.141722050406
7,-168.275967102283,133.424148355353,1.30807988583679,"gaussian","adaptive_sparse_group_lasso",1,0.149527361183765,0.5,TRUE,"identity",FALSE,0.368664370272456,"compound_symmetry","gaussian",0.2,1000,50,1e-06,1,"PGD",0.9,TRUE,10,1,TRUE,0.0172792188590724,2,0.564189583547756,9.01333349505652,2.54261443547649,20,340.551934204566,337.680313371662,345.565267699623,339.094548640043,351.556732246731,340.78470958388
8,-154.129343284354,98.631187781511,0.9669724292305,"gaussian","adaptive_sparse_group_lasso",1,2.00740908522015,0.5,TRUE,"identity",FALSE,0.451064816762858,"compound_symmetry","gaussian",0.2,1000,50,1e-06,1,"PGD",0.9,TRUE,10,1,TRUE,0,0,0,0,0,20,308.258686568708,308.258686568708,308.258686568708,308.258686568708,308.258686568708,308.258686568708
9,-158.284268782911,111.775995847253,1.0958430965417,"gaussian","adaptive_sparse_group_lasso",1,0.121533015984824,0.5,TRUE,"identity",FALSE,0.312711291978481,"compound_symmetry","gaussian",0.2,1000,50,1e-06,1,"PGD",0.9,TRUE,10,1,TRUE,0.0488883586611432,4,1.12837916709551,18.2252225618702,5.14124036362335,20,324.568537565822,318.825295900013,334.793760127693,321.709777929446,346.776689221908,325.09009981712
10,-173.784407734508,142.564483598241,1.39769101566903,"gaussian","adaptive_sparse_group_lasso",1,0.410157164017514,0.5,TRUE,"identity",FALSE,0.514125001634493,"compound_symmetry","gaussian",0.2,1000,50,1e-06,1,"PGD",0.9,TRUE,10,1,TRUE,0.220012165861793,2,0.564189583547756,9.14089373907685,2.57859851595203,20,351.568815469016,348.697194636112,356.709709208093,350.147413984968,362.701173755201,351.837574928805
11,-171.739542575733,142.349482797034,1.3955831646768,"gaussian","adaptive_sparse_group_lasso",1,3.19851453189148,0.5,TRUE,"identity",FALSE,0.378594255624039,"compound_symmetry","gaussian",0.2,1000,50,1e-06,1,"PGD",0.9,TRUE,10,1,TRUE,0,0,0,0,0,20,343.479085151466,343.479085151466,343.479085151466,343.479085151466,343.479085151466,343.479085151466
12,-165.885409958414,131.447007371412,1.28869615070011,"gaussian","adaptive_sparse_group_lasso",1,2.68999524120503,0.5,TRUE,"identity",FALSE,0.277166766515638,"compound_symmetry","gaussian",0.2,1000,50,1e-06,1,"PGD",0.9,TRUE,10,1,TRUE,0,0,0,0,0,20,331.770819916828,331.770819916828,331.770819916828,331.770819916828,331.770819916828,331.770819916828
13,-166.114903480995,123.692195968144,1.21266858792298,"gaussian","adaptive_sparse_group_lasso",1,0.148812380219582,0.5,TRUE,"identity",FALSE,0.482298597050334,"compound_symmetry","gaussian",0.2,1000,50,1e-06,1,"PGD",0.9,TRUE,10,1,TRUE,0.05171287316914,4,1.12837916709551,18.3800440590751,5.18491470163949,20,340.22980696199,334.486565296181,350.609851021065,337.414721663629,362.592780115281,340.795043551303
