"job.id","llk","rss","family.dispersion","family.name","penalty.name","penalty.alpha","penalty.lambda","penalty.adaptive","penalty.penalize_intercept","link_function.name","working_covariance.estimate","working_covariance.ratio","working_covariance.name","kernel.name","kernel.scale","control.max_iter","control.max_rounds","control.rel_tol","control.verbose","control.update_method","control.backtracking_fraction","control.two_step_estimation","control.lambda_max_factor","control.stepsize_factor","control.update_stepsize_every_round","penalty","df","df_kernel","df_logn","df_logn_kernel","df_max","aic","aich","bic","bich","ebic","ebich"
1,-318.07190208289,237.169047564306,1.18584523782153,"gaussian","adaptive_sparse_group_lasso",1,0.149320391025066,0.5,TRUE,"identity",FALSE,0.460613499186552,"compound_symmetry","gaussian",0.2,1000,50,1e-06,1,"PGD",0.9,TRUE,10,1,TRUE,0.362431888168378,28,0.789865416966859,147.006479038489,4.14697620937734,200,692.143804165781,637.723534999714,783.150283204269,640.290780375158,931.503169467614,644.475738031109
2,-338.278849102089,288.249799679649,1.44124899839824,"gaussian","adaptive_sparse_group_lasso",1,0.267830261306161,0.5,TRUE,"identity",FALSE,0.501353805278563,"compound_symmetry","gaussian",0.2,1000,50,1e-06,1,"PGD",0.9,TRUE,10,1,TRUE,0.515671460150882,18,0.507770625192981,95.7977624435801,2.70240498489252,200,712.557698204178,677.573239454564,772.355460647758,679.26010318907,867.725173245622,681.950433110753
3,-329.667468831693,272.501450097966,1.36250725048983,"gaussian","adaptive_sparse_group_lasso",1,4.2425514333939,0.5,TRUE,"identity",FALSE,0.345804589132027,"compound_symmetry","gaussian",0.2,1000,50,1e-06,1,"PGD",0.9,TRUE,10,1,TRUE,0,0,0,0,0,200,659.334937663387,659.334937663387,659.334937663387,659.334937663387,659.334937663387,659.334937663387
4,-298.851382941652,199.699850660275,0.998499253301374,"gaussian","adaptive_sparse_group_lasso",1,0.0119996063589488,0.5,TRUE,"identity",FALSE,0.357856838487273,"compound_symmetry","gaussian",0.2,1000,50,1e-06,1,"PGD",0.9,TRUE,10,1,TRUE,0.0101082823075269,72,2.03108250077192,378.083478107513,10.6655380029883,200,741.702765883304,601.764930884847,975.786243990817,608.368303886292,1357.26509438228,619.129623573023
5,-315.356018660393,231.853059596698,1.15926529798349,"gaussian","adaptive_sparse_group_lasso",1,0.0679849862862475,0.5,TRUE,"identity",FALSE,0.436001511709527,"compound_symmetry","gaussian",0.2,1000,50,1e-06,1,"PGD",0.9,TRUE,10,1,TRUE,0.206296250185076,55,1.55152135475633,293.692797144185,8.28492084558768,200,740.712037320785,633.815080030298,924.404834464971,638.996958166373,1215.81228962511,647.217410704849
6,-311.310338868832,235.304100197798,1.17652050098899,"gaussian","adaptive_sparse_group_lasso",1,2.90785339138408,0.5,TRUE,"identity",FALSE,0.208530240975339,"compound_symmetry","gaussian",0.2,1000,50,1e-06,1,"PGD",0.9,TRUE,10,1,TRUE,0,0,0,0,0,200,622.620677737664,622.620677737664,622.620677737664,622.620677737664,622.620677737664,622.620677737664
7,-325.873293964753,262.007962488204,1.31003981244102,"gaussian","adaptive_sparse_group_lasso",1,0.140571254216475,0.5,TRUE,"identity",FALSE,0.351761162709428,"compound_symmetry","gaussian",0.2,1000,50,1e-06,1,"PGD",0.9,TRUE,10,1,TRUE,0.488704793714788,29,0.818074896144247,154.958397755301,4.37129569483955,200,709.746587929506,653.382737721794,806.704985684807,656.117883624345,960.3561893147,660.452304053724
8,-334.856874278935,290.041979462886,1.45020989731443,"gaussian","adaptive_sparse_group_lasso",1,2.28060717447117,0.5,TRUE,"identity",FALSE,0.30141825856704,"compound_symmetry","gaussian",0.2,1000,50,1e-06,1,"PGD",0.9,TRUE,10,1,TRUE,0,0,0,0,0,200,669.71374855787,669.71374855787,669.71374855787,669.71374855787,669.71374855787,669.71374855787
9,-305.744370867963,213.328115477929,1.06664057738965,"gaussian","adaptive_sparse_group_lasso",1,0.0713691909643229,0.5,TRUE,"identity",FALSE,0.371394813108931,"compound_symmetry","gaussian",0.2,1000,50,1e-06,1,"PGD",0.9,TRUE,10,1,TRUE,0.12612546337609,42,1.18479812545029,215.371316631228,6.07551267191522,200,695.488741735925,613.858337986826,826.860058367153,617.564254407841,1049.38938776217,623.841690891767
10,-320.419867192522,242.162138755471,1.21081069377736,"gaussian","adaptive_sparse_group_lasso",1,1.76946925717152,0.5,TRUE,"identity",FALSE,0.475641424508528,"compound_symmetry","gaussian",0.2,1000,50,1e-06,1,"PGD",0.9,TRUE,10,1,TRUE,0,0,0,0,0,200,640.839734385043,640.839734385043,640.839734385043,640.839734385043,640.839734385043,640.839734385043
