"job.id","problem","algorithm","n_subjects","prop_observed","observation_variance","random_effect_ar1_correlation","random_effect_variance_ratio","effect_size","n_timepoints","grpdiff_function","missingness","seed","cross_sectional","independent","penalty.adaptive","kernel.scale"
1,"synthetic","LSVCMM",100,0.5,1,1,1,1,10,"sigmoid","sqrt",1,FALSE,FALSE,0.5,0.2
2,"synthetic","LSVCMM",100,0.5,1,1,1,1,10,"sigmoid","sqrt",2,FALSE,FALSE,0.5,0.2
3,"synthetic","LSVCMM",100,0.5,1,1,1,1,10,"sigmoid","sqrt",3,FALSE,FALSE,0.5,0.2
4,"synthetic","LSVCMM",100,0.5,1,1,1,1,10,"sigmoid","sqrt",4,FALSE,FALSE,0.5,0.2
5,"synthetic","LSVCMM",100,0.5,1,1,1,1,10,"sigmoid","sqrt",5,FALSE,FALSE,0.5,0.2
6,"synthetic","LSVCMM",100,0.5,1,1,1,1,10,"sigmoid","sqrt",6,FALSE,FALSE,0.5,0.2
7,"synthetic","LSVCMM",100,0.5,1,1,1,1,10,"sigmoid","sqrt",7,FALSE,FALSE,0.5,0.2
8,"synthetic","LSVCMM",100,0.5,1,1,1,1,10,"sigmoid","sqrt",8,FALSE,FALSE,0.5,0.2
9,"synthetic","LSVCMM",100,0.5,1,1,1,1,10,"sigmoid","sqrt",9,FALSE,FALSE,0.5,0.2
10,"synthetic","LSVCMM",100,0.5,1,1,1,1,10,"sigmoid","sqrt",10,FALSE,FALSE,0.5,0.2
11,"synthetic","LSVCMM",100,0.5,1,1,1,1,10,"sigmoid","sqrt",11,FALSE,FALSE,0.5,0.2
12,"synthetic","LSVCMM",100,0.5,1,1,1,1,10,"sigmoid","sqrt",12,FALSE,FALSE,0.5,0.2
13,"synthetic","LSVCMM",100,0.5,1,1,1,1,10,"sigmoid","sqrt",13,FALSE,FALSE,0.5,0.2
14,"synthetic","LSVCMM",100,0.5,1,1,1,1,10,"sigmoid","sqrt",14,FALSE,FALSE,0.5,0.2
15,"synthetic","LSVCMM",100,0.5,1,1,1,1,10,"sigmoid","sqrt",15,FALSE,FALSE,0.5,0.2
16,"synthetic","LSVCMM",100,0.5,1,1,1,1,10,"sigmoid","sqrt",16,FALSE,FALSE,0.5,0.2
17,"synthetic","LSVCMM",100,0.5,1,1,1,1,10,"sigmoid","sqrt",17,FALSE,FALSE,0.5,0.2
18,"synthetic","LSVCMM",100,0.5,1,1,1,1,10,"sigmoid","sqrt",18,FALSE,FALSE,0.5,0.2
19,"synthetic","LSVCMM",100,0.5,1,1,1,1,10,"sigmoid","sqrt",19,FALSE,FALSE,0.5,0.2
20,"synthetic","LSVCMM",100,0.5,1,1,1,1,10,"sigmoid","sqrt",20,FALSE,FALSE,0.5,0.2
21,"synthetic","LSVCMM",100,0.5,1,1,1,1,10,"sigmoid","sqrt",21,FALSE,FALSE,0.5,0.2
22,"synthetic","LSVCMM",100,0.5,1,1,1,1,10,"sigmoid","sqrt",22,FALSE,FALSE,0.5,0.2
23,"synthetic","LSVCMM",100,0.5,1,1,1,1,10,"sigmoid","sqrt",23,FALSE,FALSE,0.5,0.2
24,"synthetic","LSVCMM",100,0.5,1,1,1,1,10,"sigmoid","sqrt",24,FALSE,FALSE,0.5,0.2
25,"synthetic","LSVCMM",100,0.5,1,1,1,1,10,"sigmoid","sqrt",25,FALSE,FALSE,0.5,0.2
26,"synthetic","LSVCMM",100,0.5,1,1,1,1,10,"sigmoid","sqrt",26,FALSE,FALSE,0.5,0.2
27,"synthetic","LSVCMM",100,0.5,1,1,1,1,10,"sigmoid","sqrt",27,FALSE,FALSE,0.5,0.2
28,"synthetic","LSVCMM",100,0.5,1,1,1,1,10,"sigmoid","sqrt",28,FALSE,FALSE,0.5,0.2
29,"synthetic","LSVCMM",100,0.5,1,1,1,1,10,"sigmoid","sqrt",29,FALSE,FALSE,0.5,0.2
30,"synthetic","LSVCMM",100,0.5,1,1,1,1,10,"sigmoid","sqrt",30,FALSE,FALSE,0.5,0.2
31,"synthetic","LSVCMM",100,0.5,1,1,1,1,10,"sigmoid","sqrt",31,FALSE,FALSE,0.5,0.2
32,"synthetic","LSVCMM",100,0.5,1,1,1,1,10,"sigmoid","sqrt",32,FALSE,FALSE,0.5,0.2
33,"synthetic","LSVCMM",100,0.5,1,1,1,1,10,"sigmoid","sqrt",33,FALSE,FALSE,0.5,0.2
34,"synthetic","LSVCMM",100,0.5,1,1,1,1,10,"sigmoid","sqrt",34,FALSE,FALSE,0.5,0.2
35,"synthetic","LSVCMM",100,0.5,1,1,1,1,10,"sigmoid","sqrt",35,FALSE,FALSE,0.5,0.2
36,"synthetic","LSVCMM",100,0.5,1,1,1,1,10,"sigmoid","sqrt",36,FALSE,FALSE,0.5,0.2
37,"synthetic","LSVCMM",100,0.5,1,1,1,1,10,"sigmoid","sqrt",37,FALSE,FALSE,0.5,0.2
38,"synthetic","LSVCMM",100,0.5,1,1,1,1,10,"sigmoid","sqrt",38,FALSE,FALSE,0.5,0.2
39,"synthetic","LSVCMM",100,0.5,1,1,1,1,10,"sigmoid","sqrt",39,FALSE,FALSE,0.5,0.2
40,"synthetic","LSVCMM",100,0.5,1,1,1,1,10,"sigmoid","sqrt",40,FALSE,FALSE,0.5,0.2
41,"synthetic","LSVCMM",100,0.5,1,1,1,1,10,"sigmoid","sqrt",41,FALSE,FALSE,0.5,0.2
42,"synthetic","LSVCMM",100,0.5,1,1,1,1,10,"sigmoid","sqrt",42,FALSE,FALSE,0.5,0.2
43,"synthetic","LSVCMM",100,0.5,1,1,1,1,10,"sigmoid","sqrt",43,FALSE,FALSE,0.5,0.2
44,"synthetic","LSVCMM",100,0.5,1,1,1,1,10,"sigmoid","sqrt",44,FALSE,FALSE,0.5,0.2
45,"synthetic","LSVCMM",100,0.5,1,1,1,1,10,"sigmoid","sqrt",45,FALSE,FALSE,0.5,0.2
46,"synthetic","LSVCMM",100,0.5,1,1,1,1,10,"sigmoid","sqrt",46,FALSE,FALSE,0.5,0.2
47,"synthetic","LSVCMM",100,0.5,1,1,1,1,10,"sigmoid","sqrt",47,FALSE,FALSE,0.5,0.2
48,"synthetic","LSVCMM",100,0.5,1,1,1,1,10,"sigmoid","sqrt",48,FALSE,FALSE,0.5,0.2
49,"synthetic","LSVCMM",100,0.5,1,1,1,1,10,"sigmoid","sqrt",49,FALSE,FALSE,0.5,0.2
50,"synthetic","LSVCMM",100,0.5,1,1,1,1,10,"sigmoid","sqrt",50,FALSE,FALSE,0.5,0.2
51,"synthetic","LSVCMM",100,0.5,1,1,1,1,10,"sigmoid","sqrt",51,FALSE,FALSE,0.5,0.2
52,"synthetic","LSVCMM",100,0.5,1,1,1,1,10,"sigmoid","sqrt",52,FALSE,FALSE,0.5,0.2
53,"synthetic","LSVCMM",100,0.5,1,1,1,1,10,"sigmoid","sqrt",53,FALSE,FALSE,0.5,0.2
54,"synthetic","LSVCMM",100,0.5,1,1,1,1,10,"sigmoid","sqrt",54,FALSE,FALSE,0.5,0.2
55,"synthetic","LSVCMM",100,0.5,1,1,1,1,10,"sigmoid","sqrt",55,FALSE,FALSE,0.5,0.2
56,"synthetic","LSVCMM",100,0.5,1,1,1,1,10,"sigmoid","sqrt",56,FALSE,FALSE,0.5,0.2
57,"synthetic","LSVCMM",100,0.5,1,1,1,1,10,"sigmoid","sqrt",57,FALSE,FALSE,0.5,0.2
58,"synthetic","LSVCMM",100,0.5,1,1,1,1,10,"sigmoid","sqrt",58,FALSE,FALSE,0.5,0.2
59,"synthetic","LSVCMM",100,0.5,1,1,1,1,10,"sigmoid","sqrt",59,FALSE,FALSE,0.5,0.2
60,"synthetic","LSVCMM",100,0.5,1,1,1,1,10,"sigmoid","sqrt",60,FALSE,FALSE,0.5,0.2
61,"synthetic","LSVCMM",100,0.5,1,1,1,1,10,"sigmoid","sqrt",61,FALSE,FALSE,0.5,0.2
62,"synthetic","LSVCMM",100,0.5,1,1,1,1,10,"sigmoid","sqrt",62,FALSE,FALSE,0.5,0.2
63,"synthetic","LSVCMM",100,0.5,1,1,1,1,10,"sigmoid","sqrt",63,FALSE,FALSE,0.5,0.2
64,"synthetic","LSVCMM",100,0.5,1,1,1,1,10,"sigmoid","sqrt",64,FALSE,FALSE,0.5,0.2
65,"synthetic","LSVCMM",100,0.5,1,1,1,1,10,"sigmoid","sqrt",65,FALSE,FALSE,0.5,0.2
66,"synthetic","LSVCMM",100,0.5,1,1,1,1,10,"sigmoid","sqrt",66,FALSE,FALSE,0.5,0.2
67,"synthetic","LSVCMM",100,0.5,1,1,1,1,10,"sigmoid","sqrt",67,FALSE,FALSE,0.5,0.2
68,"synthetic","LSVCMM",100,0.5,1,1,1,1,10,"sigmoid","sqrt",68,FALSE,FALSE,0.5,0.2
