"job.id","llk","rss","family.dispersion","family.name","penalty.name","penalty.alpha","penalty.lambda","penalty.adaptive","penalty.penalize_intercept","link_function.name","working_covariance.estimate","working_covariance.ratio","working_covariance.name","kernel.name","kernel.scale","control.max_iter","control.max_rounds","control.rel_tol","control.verbose","control.update_method","control.backtracking_fraction","control.two_step_estimation","control.stepsize_factor","penalty","df","df_kernel","df_logn","df_logn_kernel","df_max","aic","aich","bic","bich","ebic","ebich"
1,-797.232879621968,596.84309333225,1.18656678594881,"gaussian","adaptive_sparse_group_lasso",1,0.0507686557289228,0.5,TRUE,"identity",FALSE,0.274614997399297,"compound_symmetry","gaussian",0.2,1000,50,1e-06,1,"PGD",0.9,TRUE,1,0.00587793520326784,4,1.12837916709551,24.8822220997975,7.01914526211376,20,1602.46575924394,1596.72251757813,1619.34798134373,1601.48490450605,1631.33091043795,1604.86522639372
2,-818.832191262056,629.604873124433,1.25169954895514,"gaussian","adaptive_sparse_group_lasso",1,0.0288021697975664,0.5,TRUE,"identity",FALSE,0.366282373968947,"compound_symmetry","gaussian",0.2,1000,50,1e-06,1,"PGD",0.9,TRUE,1,0.00694987023929526,10,2.82094791773878,61.008028110073,17.2100469862459,20,1657.66438252411,1643.30627835959,1698.67241063418,1654.87442951036,1728.62973336972,1663.32523422954
3,-814.759659607944,623.27582169509,1.23911694173974,"gaussian","adaptive_sparse_group_lasso",1,0.0800899258924505,0.5,TRUE,"identity",FALSE,0.347863178808262,"compound_symmetry","gaussian",0.2,1000,50,1e-06,1,"PGD",0.9,TRUE,1,0.0173301603175591,3,0.846284375321634,17.802964466162,5.02212355403972,20,1635.51931921589,1631.21188796653,1647.32228368205,1634.54144276993,1656.30948050271,1637.07668418568
4,-793.239851835949,568.418376938554,1.1300564153848,"gaussian","adaptive_sparse_group_lasso",1,0.0205606835650096,0.5,TRUE,"identity",FALSE,0.367746700060752,"compound_symmetry","gaussian",0.2,1000,50,1e-06,1,"PGD",0.9,TRUE,1,0.00248633190487195,7,1.97466354241715,43.323302326596,12.2212779487779,20,1600.4797036719,1590.42903075673,1629.80300599849,1598.70098162068,1650.77313191337,1604.6165449241
5,-813.103978015802,610.931977226382,1.21457649547989,"gaussian","adaptive_sparse_group_lasso",1,0.0168491600448301,0.5,TRUE,"identity",FALSE,0.389246867770402,"compound_symmetry","gaussian",0.2,1000,50,1e-06,1,"PGD",0.9,TRUE,1,0.00134344667791639,6,1.69256875064327,37.1478620434483,10.4792184079913,20,1638.2079560316,1629.59309353289,1663.35581807505,1636.6871744396,1681.33021171638,1641.75765727111
6,-798.284298682416,577.443023602355,1.1479980588516,"gaussian","adaptive_sparse_group_lasso",1,0.0265955408342403,0.5,TRUE,"identity",FALSE,0.381160828133608,"compound_symmetry","gaussian",0.2,1000,50,1e-06,1,"PGD",0.9,TRUE,1,0.00247566772109771,5,1.41047395886939,30.5363271554678,8.61413885046072,20,1606.56859736483,1599.38954528257,1627.1049245203,1605.18273621529,1642.08358588807,1609.40813857489
7,-822.515540880344,648.217412880134,1.28870261009967,"gaussian","adaptive_sparse_group_lasso",1,0.0531606211127191,0.5,TRUE,"identity",FALSE,0.323406569900684,"compound_symmetry","gaussian",0.2,1000,50,1e-06,1,"PGD",0.9,TRUE,1,0.0133195110775611,5,1.41047395886939,30.2878268274545,8.54403820217407,20,1655.03108176069,1647.85202967843,1675.31890858814,1653.57511996286,1690.29756995591,1657.80052232245
8,-793.991505912687,587.414676245223,1.16782241798255,"gaussian","adaptive_sparse_group_lasso",1,0.00551793888140131,0.5,TRUE,"identity",FALSE,0.28253999526118,"compound_symmetry","gaussian",0.2,1000,50,1e-06,1,"PGD",0.9,TRUE,1,0.000159053424993986,8,2.25675833419103,49.2080634030525,13.8813383992799,20,1603.98301182537,1592.49652849376,1637.19107522843,1601.86435022465,1661.15693341686,1608.624994
9,-796.809102379374,578.711487753675,1.15051985636913,"gaussian","adaptive_sparse_group_lasso",1,0.016090184476656,0.5,TRUE,"identity",FALSE,0.356292875378795,"compound_symmetry","gaussian",0.2,1000,50,1e-06,1,"PGD",0.9,TRUE,1,0.000765027333126942,5,1.41047395886939,31.2513151100524,8.81583322863009,20,1603.61820475875,1596.43915267649,1624.8695198688,1602.43403798738,1639.84818123657,1606.65944034697
10,-841.998832661127,667.394306843745,1.32682764780069,"gaussian","adaptive_sparse_group_lasso",1,0.0545446347198906,0.5,TRUE,"identity",FALSE,0.479941406046515,"compound_symmetry","gaussian",0.2,1000,50,1e-06,1,"PGD",0.9,TRUE,1,0.0105933118704337,5,1.41047395886939,32.4305399514573,9.1484864147208,20,1693.99766532225,1686.81861323999,1716.42820527371,1693.14615173697,1731.40686664148,1697.37155409657
