scenario,effect_size,normal_min,normal_fisher,percentile_min,percentile_fisher,percentile
A,0,0.095,0.054,0.062,0.043,0.056
A,0.25,0.171,0.071,0.115,0.046,0.1
A,0.5,0.522,0.195,0.42,0.07,0.338
A,0.75,0.825,0.452,0.749,0.104,0.418
A,1,0.967,0.777,0.945,0.149,0.299
B,0,0.095,0.054,0.062,0.043,0.056
B,0.25,0.263,0.215,0.198,0.155,0.166
B,0.5,0.765,0.678,0.654,0.6,0.422
B,0.75,0.976,0.951,0.96,0.916,0.263
B,1,0.998,0.996,0.997,0.993,0.057
C,0,0.153,0.026,0.096,0.009,0.093
C,0.25,0.253,0.034,0.157,0.008,0.146
C,0.5,0.535,0.051,0.4,0.012,0.334
C,0.75,0.837,0.069,0.765,0.016,0.459
C,1,0.969,0.149,0.942,0.015,0.261
D,0,0.153,0.026,0.096,0.009,0.093
D,0.25,0.353,0.152,0.267,0.087,0.195
D,0.5,0.837,0.661,0.787,0.587,0.28
D,0.75,0.994,0.981,0.992,0.962,0.041
D,1,1,1,1,0.999,0
