scenario,effect_size,var,normal_min,normal_fisher,percentile_min,percentile_fisher,percentile
A,0,X1,0.095,0.054,0.062,0.043,0.056
A,0.25,X1,0.171,0.071,0.115,0.046,0.1
A,0.5,X1,0.522,0.195,0.42,0.07,0.338
A,0.75,X1,0.825,0.452,0.749,0.104,0.418
A,1,X1,0.967,0.777,0.945,0.149,0.299
B,0,X1,0.095,0.054,0.062,0.043,0.056
B,0.25,X1,0.263,0.215,0.198,0.155,0.166
B,0.5,X1,0.765,0.678,0.654,0.6,0.422
B,0.75,X1,0.976,0.951,0.96,0.916,0.263
B,1,X1,0.998,0.996,0.997,0.993,0.057
C,0,X1,0.052,0.027,0.035,0.018,0.032
C,0,X2,0.044,0.013,0.024,0.007,0.024
C,0,X3,0.049,0.025,0.023,0.014,0.022
C,0,X4,0.054,0.027,0.036,0.016,0.036
C,0.25,X1,0.135,0.043,0.079,0.026,0.074
C,0.25,X2,0.057,0.023,0.033,0.013,0.033
C,0.25,X3,0.057,0.029,0.033,0.019,0.031
C,0.25,X4,0.064,0.03,0.038,0.015,0.035
C,0.5,X1,0.448,0.144,0.347,0.041,0.285
C,0.5,X2,0.061,0.028,0.04,0.014,0.04
C,0.5,X3,0.076,0.035,0.04,0.019,0.039
C,0.5,X4,0.062,0.035,0.04,0.019,0.037
C,0.75,X1,0.804,0.42,0.74,0.055,0.437
C,0.75,X2,0.072,0.029,0.044,0.013,0.043
C,0.75,X3,0.066,0.032,0.035,0.022,0.033
C,0.75,X4,0.074,0.032,0.041,0.018,0.043
C,1,X1,0.961,0.798,0.935,0.095,0.258
C,1,X2,0.073,0.016,0.041,0.007,0.039
C,1,X3,0.063,0.022,0.036,0.015,0.035
C,1,X4,0.065,0.026,0.041,0.011,0.037
D,0,X1,0.052,0.027,0.035,0.018,0.032
D,0,X2,0.044,0.013,0.024,0.007,0.024
D,0,X3,0.049,0.025,0.023,0.014,0.022
D,0,X4,0.054,0.027,0.036,0.016,0.036
D,0.25,X1,0.135,0.101,0.107,0.081,0.079
D,0.25,X2,0.145,0.089,0.098,0.066,0.083
D,0.25,X3,0.145,0.099,0.103,0.078,0.086
D,0.25,X4,0.139,0.109,0.1,0.076,0.077
D,0.5,X1,0.6,0.507,0.524,0.442,0.318
D,0.5,X2,0.597,0.534,0.53,0.451,0.342
D,0.5,X3,0.605,0.532,0.536,0.452,0.321
D,0.5,X4,0.616,0.54,0.544,0.47,0.332
D,0.75,X1,0.961,0.94,0.929,0.881,0.286
D,0.75,X2,0.964,0.944,0.939,0.9,0.287
D,0.75,X3,0.953,0.935,0.937,0.892,0.301
D,0.75,X4,0.956,0.938,0.939,0.902,0.276
D,1,X1,0.998,0.994,0.997,0.992,0.061
D,1,X2,0.998,0.999,0.997,0.997,0.056
D,1,X3,1,0.999,0.998,0.995,0.062
D,1,X4,0.997,0.995,0.995,0.99,0.065
