"job.id","llk","rss","family.dispersion","family.name","penalty.name","penalty.alpha","penalty.lambda","penalty.adaptive","penalty.penalize_intercept","link_function.name","working_covariance.estimate","working_covariance.ratio","working_covariance.name","kernel.name","kernel.scale","control.max_iter","control.max_rounds","control.rel_tol","control.verbose","control.update_method","control.backtracking_fraction","control.two_step_estimation","control.lambda_max_factor","control.stepsize_factor","control.update_stepsize_every_round","penalty","df","df_kernel","df_logn","df_logn_kernel","df_max","aic","aich","bic","bich","ebic","ebich"
1,-1432.07491946388,1026.61991764924,1.02661991764924,"gaussian","adaptive_sparse_group_lasso",1,0.0275508126531408,0.5,TRUE,"identity",FALSE,1e-06,"compound_symmetry","gaussian",0.2,1000,50,1e-06,1,"PGD",0.9,TRUE,10,1,TRUE,0.0306461422336985,51,1.43868343804678,350.726543815119,9.8938131347098,200,2966.14983892775,2867.02720580384,3214.87638274287,2874.04365206246,3485.09056843682,2881.66625350723
2,-1423.15823215281,1008.47410153735,1.00847410153735,"gaussian","adaptive_sparse_group_lasso",1,0.0176225268546591,0.5,TRUE,"identity",FALSE,1e-06,"compound_symmetry","gaussian",0.2,1000,50,1e-06,1,"PGD",0.9,TRUE,10,1,TRUE,0.0135550579233424,57,1.60794031311111,391.885090938265,11.0548743127517,200,2960.31646430562,2849.53234493184,3238.20155524388,2857.37133861837,3540.20564513712,2865.8907167037
3,-1419.54050345452,1001.20366432783,1.00120366432783,"gaussian","adaptive_sparse_group_lasso",1,0.0225663583621714,0.5,TRUE,"identity",FALSE,1e-06,"compound_symmetry","gaussian",0.2,1000,50,1e-06,1,"PGD",0.9,TRUE,10,1,TRUE,0.0178265972790241,47,1.32584552133723,325.260923116572,9.17544123787486,200,2933.08100690904,2841.73269795171,3164.34193002561,2848.25644814691,3413.36284625337,2855.28119849797
4,-1424.36649850923,998.355321527069,0.99835532152707,"gaussian","adaptive_sparse_group_lasso",1,0.011954232586495,0.5,TRUE,"identity",FALSE,0.0133170697560941,"compound_symmetry","gaussian",0.2,1000,50,1e-06,1,"PGD",0.9,TRUE,10,1,TRUE,0.00612674536327564,62,1.74898770899804,427.471144709858,12.0587383556269,200,2972.73299701846,2852.23097243645,3276.20414172832,2860.79173537408,3604.69981845429,2870.05842732655
5,-1400.30550589546,958.36761396542,0.95836761396542,"gaussian","adaptive_sparse_group_lasso",1,0.00729070006536436,0.5,TRUE,"identity",FALSE,0.0053984657390631,"compound_symmetry","gaussian",0.2,1000,50,1e-06,1,"PGD",0.9,TRUE,10,1,TRUE,0.00260484237466841,74,2.0875014591267,510.205438531319,14.3926296944393,200,2948.61101179092,2804.78601470917,3310.81645032223,2815.00364148535,3702.89193544679,2826.06388671894
6,-1377.11198323965,911.23035871706,0.91123035871706,"gaussian","adaptive_sparse_group_lasso",1,0.0227554641216275,0.5,TRUE,"identity",FALSE,0.00975325258247352,"compound_symmetry","gaussian",0.2,1000,50,1e-06,1,"PGD",0.9,TRUE,10,1,TRUE,0.0184589964405062,54,1.52331187557894,371.111976747963,10.4688755805509,200,2862.2239664793,2757.27059023046,3125.33594322726,2764.69284205985,3411.44508102086,2772.7638318249
7,-1407.03538863752,976.473868756651,0.976473868756651,"gaussian","adaptive_sparse_group_lasso",1,0.0386793654157978,0.5,TRUE,"identity",FALSE,1e-06,"compound_symmetry","gaussian",0.2,1000,50,1e-06,1,"PGD",0.9,TRUE,10,1,TRUE,0.06095509354204,46,1.29763604215984,317.515155202282,8.95693715918382,200,2906.07077727505,2816.66604935937,3131.58593247733,2823.02771443423,3375.30853133854,2829.90300201187
8,-1370.98171381469,908.541566979888,0.908541566979888,"gaussian","adaptive_sparse_group_lasso",1,0.0190280390710938,0.5,TRUE,"identity",FALSE,1e-06,"compound_symmetry","gaussian",0.2,1000,50,1e-06,1,"PGD",0.9,TRUE,10,1,TRUE,0.0149503179729782,52,1.46689291722417,357.396465992349,10.0819681654832,200,2845.96342762938,2744.89721346383,3099.35989362173,2752.04539579486,3374.87239668222,2759.81746001306
9,-1391.60191637884,942.880916778144,0.942880916778143,"gaussian","adaptive_sparse_group_lasso",1,0.0214974689570738,0.5,TRUE,"identity",FALSE,0.00422903165375117,"compound_symmetry","gaussian",0.2,1000,50,1e-06,1,"PGD",0.9,TRUE,10,1,TRUE,0.0175750008016479,56,1.57973083393372,386.328349178279,10.8981215217793,200,2895.20383275768,2786.36329442555,3169.53218193596,2794.10195427946,3466.23795446265,2802.47186959136
10,-1422.06559182526,1006.27270879862,1.00627270879862,"gaussian","adaptive_sparse_group_lasso",1,0.018358337787533,0.5,TRUE,"identity",FALSE,1e-06,"compound_symmetry","gaussian",0.2,1000,50,1e-06,1,"PGD",0.9,TRUE,10,1,TRUE,0.0131417016088305,61,1.72077822982066,420.816831772065,11.8710236533684,200,2966.13118365052,2847.57274011016,3264.94801542258,2856.00220730389,3588.14537478201,2865.11943648292
11,-1419.17348552042,1000.46901458945,1.00046901458945,"gaussian","adaptive_sparse_group_lasso",1,0.0175228415689806,0.5,TRUE,"identity",FALSE,1e-06,"compound_symmetry","gaussian",0.2,1000,50,1e-06,1,"PGD",0.9,TRUE,10,1,TRUE,0.0119121688440008,47,1.32584552133723,325.213518359334,9.17410397436265,200,2932.34697104083,2840.99866208351,3163.56048940017,2847.5210750152,3412.58140562792,2854.54582536626
12,-1412.3834407284,986.974392223496,0.986974392223496,"gaussian","adaptive_sparse_group_lasso",1,0.0272652736004572,0.5,TRUE,"identity",FALSE,1e-06,"compound_symmetry","gaussian",0.2,1000,50,1e-06,1,"PGD",0.9,TRUE,10,1,TRUE,0.03091327527859,51,1.43868343804678,351.299898488741,9.90998717143659,200,2926.7668814568,2827.64424833289,3176.06677994554,2834.67686862823,3446.28096563949,2842.299470073
13,-1428.39105038601,1019.08384689893,1.01908384689893,"gaussian","adaptive_sparse_group_lasso",1,0.0194388333236413,0.5,TRUE,"identity",FALSE,1e-06,"compound_symmetry","gaussian",0.2,1000,50,1e-06,1,"PGD",0.9,TRUE,10,1,TRUE,0.0161142463351582,51,1.43868343804678,351.137993490319,9.90541991575489,200,2958.78210077203,2859.65946764812,3207.92009426234,2866.68752068778,3478.13427995629,2874.31012213255
14,-1420.83173206304,989.962333034581,0.989962333034581,"gaussian","adaptive_sparse_group_lasso",1,0.0163688403348211,0.5,TRUE,"identity",FALSE,0.0148834347366706,"compound_symmetry","gaussian",0.2,1000,50,1e-06,1,"PGD",0.9,TRUE,10,1,TRUE,0.00941806296660301,42,1.18479812545029,289.298644290632,8.16096408216311,200,2925.66346412607,2844.03306037697,3130.9621084167,2849.82442820824,3353.49143781172,2856.10186469216
15,-1419.23680815516,987.694825145816,0.987694825145816,"gaussian","adaptive_sparse_group_lasso",1,0.0241706608349957,0.5,TRUE,"identity",FALSE,0.0138578554976322,"compound_symmetry","gaussian",0.2,1000,50,1e-06,1,"PGD",0.9,TRUE,10,1,TRUE,0.0208480750527853,47,1.32584552133723,323.317993562427,9.12063220707408,200,2932.47361631033,2841.125307353,3161.79160987275,2847.5942485174,3410.81252610051,2854.61899886846
16,-1466.62823066539,1100.07503919369,1.10007503919369,"gaussian","adaptive_sparse_group_lasso",1,0.0350222069788535,0.5,TRUE,"identity",FALSE,1e-06,"compound_symmetry","gaussian",0.2,1000,50,1e-06,1,"PGD",0.9,TRUE,10,1,TRUE,0.052135617630974,53,1.49510239640155,365.546236582305,10.311868949241,200,3039.25646133078,2936.24666612358,3298.80269791308,2943.56833028002,3579.61351834013,2951.48985727164
17,-1412.16554650605,986.544373893465,0.986544373893465,"gaussian","adaptive_sparse_group_lasso",1,0.0187413760964135,0.5,TRUE,"identity",FALSE,1e-06,"compound_symmetry","gaussian",0.2,1000,50,1e-06,1,"PGD",0.9,TRUE,10,1,TRUE,0.0131784287336052,48,1.35405500051462,330.636686308014,9.32708871768644,200,2920.3310930121,2827.03920301313,3154.96777932011,2833.65818172978,3409.28701291442,2840.83239485427
18,-1413.76090072795,989.697176519628,0.989697176519628,"gaussian","adaptive_sparse_group_lasso",1,0.0139905563202031,0.5,TRUE,"identity",FALSE,1e-06,"compound_symmetry","gaussian",0.2,1000,50,1e-06,1,"PGD",0.9,TRUE,10,1,TRUE,0.00808754517584886,65,1.83361614653021,446.237941019754,12.5881399053572,200,2957.5218014559,2831.18903374896,3273.75974247566,2840.10994136126,3618.15037130128,2849.82502163401
19,-1378.27292050207,921.887366163741,0.921887366163741,"gaussian","adaptive_sparse_group_lasso",1,0.0302334458643707,0.5,TRUE,"identity",FALSE,1e-06,"compound_symmetry","gaussian",0.2,1000,50,1e-06,1,"PGD",0.9,TRUE,10,1,TRUE,0.0355830959975096,50,1.41047395886939,345.428613968375,9.74436129301482,200,2856.54584100414,2759.36678892188,3101.97445497252,2766.29020229716,3366.89032329992,2773.7633409685
