"job.id","problem","algorithm","n_subjects","n_timepoints","n_features","feature_type","observation_variance","random_effect_variance_ratio","random_effect_ar1_correlation","effect_size","effect_groupsparsity","effect_sparsity","prop_observed","missingness","seed","cross_sectional","independent","penalty.adaptive","penalty.alpha","kernel.scale","add_intercept"
1,"synthetic","LSVCMM",200,21,5,"binary",1,1,1,1,0,-1.5,0.7,"uniform",1,FALSE,FALSE,0.5,0,0.2,FALSE
2,"synthetic","LSVCMM",200,21,5,"binary",1,1,1,1,0,-1.5,0.7,"uniform",1,FALSE,FALSE,0.5,0.1,0.2,FALSE
3,"synthetic","LSVCMM",200,21,5,"binary",1,1,1,1,0,-1.5,0.7,"uniform",1,FALSE,FALSE,0.5,0.2,0.2,FALSE
4,"synthetic","LSVCMM",200,21,5,"binary",1,1,1,1,0,-1.5,0.7,"uniform",1,FALSE,FALSE,0.5,0.3,0.2,FALSE
5,"synthetic","LSVCMM",200,21,5,"binary",1,1,1,1,0,-1.5,0.7,"uniform",1,FALSE,FALSE,0.5,0.4,0.2,FALSE
6,"synthetic","LSVCMM",200,21,5,"binary",1,1,1,1,0,-1.5,0.7,"uniform",1,FALSE,FALSE,0.5,0.5,0.2,FALSE
7,"synthetic","LSVCMM",200,21,5,"binary",1,1,1,1,0,-1.5,0.7,"uniform",1,FALSE,FALSE,0.5,0.6,0.2,FALSE
8,"synthetic","LSVCMM",200,21,5,"binary",1,1,1,1,0,-1.5,0.7,"uniform",1,FALSE,FALSE,0.5,0.7,0.2,FALSE
9,"synthetic","LSVCMM",200,21,5,"binary",1,1,1,1,0,-1.5,0.7,"uniform",1,FALSE,FALSE,0.5,0.8,0.2,FALSE
10,"synthetic","LSVCMM",200,21,5,"binary",1,1,1,1,0,-1.5,0.7,"uniform",1,FALSE,FALSE,0.5,0.9,0.2,FALSE
11,"synthetic","LSVCMM",200,21,5,"binary",1,1,1,1,0,-1.5,0.7,"uniform",1,FALSE,FALSE,0.5,1,0.2,FALSE
12,"synthetic","LSVCMM",200,21,5,"binary",1,1,1,1,0,-1.5,0.7,"uniform",2,FALSE,FALSE,0.5,0,0.2,FALSE
13,"synthetic","LSVCMM",200,21,5,"binary",1,1,1,1,0,-1.5,0.7,"uniform",2,FALSE,FALSE,0.5,0.1,0.2,FALSE
14,"synthetic","LSVCMM",200,21,5,"binary",1,1,1,1,0,-1.5,0.7,"uniform",2,FALSE,FALSE,0.5,0.2,0.2,FALSE
15,"synthetic","LSVCMM",200,21,5,"binary",1,1,1,1,0,-1.5,0.7,"uniform",2,FALSE,FALSE,0.5,0.3,0.2,FALSE
16,"synthetic","LSVCMM",200,21,5,"binary",1,1,1,1,0,-1.5,0.7,"uniform",2,FALSE,FALSE,0.5,0.4,0.2,FALSE
17,"synthetic","LSVCMM",200,21,5,"binary",1,1,1,1,0,-1.5,0.7,"uniform",2,FALSE,FALSE,0.5,0.5,0.2,FALSE
18,"synthetic","LSVCMM",200,21,5,"binary",1,1,1,1,0,-1.5,0.7,"uniform",2,FALSE,FALSE,0.5,0.6,0.2,FALSE
19,"synthetic","LSVCMM",200,21,5,"binary",1,1,1,1,0,-1.5,0.7,"uniform",2,FALSE,FALSE,0.5,0.7,0.2,FALSE
20,"synthetic","LSVCMM",200,21,5,"binary",1,1,1,1,0,-1.5,0.7,"uniform",2,FALSE,FALSE,0.5,0.8,0.2,FALSE
21,"synthetic","LSVCMM",200,21,5,"binary",1,1,1,1,0,-1.5,0.7,"uniform",2,FALSE,FALSE,0.5,0.9,0.2,FALSE
22,"synthetic","LSVCMM",200,21,5,"binary",1,1,1,1,0,-1.5,0.7,"uniform",2,FALSE,FALSE,0.5,1,0.2,FALSE
23,"synthetic","LSVCMM",200,21,5,"binary",1,1,1,1,0,-1.5,0.7,"uniform",3,FALSE,FALSE,0.5,0,0.2,FALSE
24,"synthetic","LSVCMM",200,21,5,"binary",1,1,1,1,0,-1.5,0.7,"uniform",3,FALSE,FALSE,0.5,0.1,0.2,FALSE
25,"synthetic","LSVCMM",200,21,5,"binary",1,1,1,1,0,-1.5,0.7,"uniform",3,FALSE,FALSE,0.5,0.2,0.2,FALSE
26,"synthetic","LSVCMM",200,21,5,"binary",1,1,1,1,0,-1.5,0.7,"uniform",3,FALSE,FALSE,0.5,0.3,0.2,FALSE
27,"synthetic","LSVCMM",200,21,5,"binary",1,1,1,1,0,-1.5,0.7,"uniform",3,FALSE,FALSE,0.5,0.4,0.2,FALSE
28,"synthetic","LSVCMM",200,21,5,"binary",1,1,1,1,0,-1.5,0.7,"uniform",3,FALSE,FALSE,0.5,0.5,0.2,FALSE
29,"synthetic","LSVCMM",200,21,5,"binary",1,1,1,1,0,-1.5,0.7,"uniform",3,FALSE,FALSE,0.5,0.6,0.2,FALSE
30,"synthetic","LSVCMM",200,21,5,"binary",1,1,1,1,0,-1.5,0.7,"uniform",3,FALSE,FALSE,0.5,0.7,0.2,FALSE
31,"synthetic","LSVCMM",200,21,5,"binary",1,1,1,1,0,-1.5,0.7,"uniform",3,FALSE,FALSE,0.5,0.8,0.2,FALSE
32,"synthetic","LSVCMM",200,21,5,"binary",1,1,1,1,0,-1.5,0.7,"uniform",3,FALSE,FALSE,0.5,0.9,0.2,FALSE
33,"synthetic","LSVCMM",200,21,5,"binary",1,1,1,1,0,-1.5,0.7,"uniform",3,FALSE,FALSE,0.5,1,0.2,FALSE
34,"synthetic","LSVCMM",200,21,5,"binary",1,1,1,1,0,-1.5,0.7,"uniform",4,FALSE,FALSE,0.5,0,0.2,FALSE
35,"synthetic","LSVCMM",200,21,5,"binary",1,1,1,1,0,-1.5,0.7,"uniform",4,FALSE,FALSE,0.5,0.1,0.2,FALSE
36,"synthetic","LSVCMM",200,21,5,"binary",1,1,1,1,0,-1.5,0.7,"uniform",4,FALSE,FALSE,0.5,0.2,0.2,FALSE
