"job.id","problem","algorithm","n_subjects","prop_observed","observation_variance","random_effect_ar1_correlation","random_effect_variance_ratio","effect_size","n_timepoints","grpdiff_function","missingness","seed","cross_sectional","independent","penalty.adaptive","kernel.scale","K"
1,"synthetic","LSVCMM",20,0.5,1,1,1,1,10,"sine","sqrt",1,FALSE,FALSE,0.5,0.2,NA
2,"synthetic","LSVCMM",30,0.5,1,1,1,1,10,"sine","sqrt",1,FALSE,FALSE,0.5,0.2,NA
3,"synthetic","LSVCMM",50,0.5,1,1,1,1,10,"sine","sqrt",1,FALSE,FALSE,0.5,0.2,NA
4,"synthetic","LSVCMM",100,0.5,1,1,1,1,10,"sine","sqrt",1,FALSE,FALSE,0.5,0.2,NA
5,"synthetic","LSVCMM",150,0.5,1,1,1,1,10,"sine","sqrt",1,FALSE,FALSE,0.5,0.2,NA
6,"synthetic","LSVCMM",200,0.5,1,1,1,1,10,"sine","sqrt",1,FALSE,FALSE,0.5,0.2,NA
7,"synthetic","SPFDA",20,0.5,1,1,1,1,10,"sine","sqrt",1,NA,NA,NA,NA,12
8,"synthetic","SPFDA",30,0.5,1,1,1,1,10,"sine","sqrt",1,NA,NA,NA,NA,12
9,"synthetic","SPFDA",50,0.5,1,1,1,1,10,"sine","sqrt",1,NA,NA,NA,NA,12
10,"synthetic","SPFDA",100,0.5,1,1,1,1,10,"sine","sqrt",1,NA,NA,NA,NA,12
11,"synthetic","SPFDA",150,0.5,1,1,1,1,10,"sine","sqrt",1,NA,NA,NA,NA,12
12,"synthetic","SPFDA",200,0.5,1,1,1,1,10,"sine","sqrt",1,NA,NA,NA,NA,12
13,"synthetic","SSANOVA",20,0.5,1,1,1,1,10,"sine","sqrt",1,NA,NA,NA,NA,NA
14,"synthetic","SSANOVA",30,0.5,1,1,1,1,10,"sine","sqrt",1,NA,NA,NA,NA,NA
15,"synthetic","SSANOVA",50,0.5,1,1,1,1,10,"sine","sqrt",1,NA,NA,NA,NA,NA
16,"synthetic","SSANOVA",100,0.5,1,1,1,1,10,"sine","sqrt",1,NA,NA,NA,NA,NA
17,"synthetic","SSANOVA",150,0.5,1,1,1,1,10,"sine","sqrt",1,NA,NA,NA,NA,NA
18,"synthetic","SSANOVA",200,0.5,1,1,1,1,10,"sine","sqrt",1,NA,NA,NA,NA,NA
19,"synthetic","SPLINECTOMER",20,0.5,1,1,1,1,10,"sine","sqrt",1,NA,NA,NA,NA,NA
20,"synthetic","SPLINECTOMER",30,0.5,1,1,1,1,10,"sine","sqrt",1,NA,NA,NA,NA,NA
21,"synthetic","SPLINECTOMER",50,0.5,1,1,1,1,10,"sine","sqrt",1,NA,NA,NA,NA,NA
22,"synthetic","SPLINECTOMER",100,0.5,1,1,1,1,10,"sine","sqrt",1,NA,NA,NA,NA,NA
23,"synthetic","SPLINECTOMER",150,0.5,1,1,1,1,10,"sine","sqrt",1,NA,NA,NA,NA,NA
24,"synthetic","SPLINECTOMER",200,0.5,1,1,1,1,10,"sine","sqrt",1,NA,NA,NA,NA,NA
