"job.id","problem","algorithm","n_subjects","prop_observed","observation_variance","random_effect_ar1_correlation","random_effect_variance_ratio","effect_size","n_timepoints","grpdiff_function","missingness","seed","cross_sectional","independent","penalty.adaptive","kernel.scale","selection"
1,"synthetic","LSVCMM",100,0.1,1,1,1,1,100,"sigmoid","fixed_uniform",1,FALSE,FALSE,0.5,0.2,"bich"
2,"synthetic","LSVCMM",100,0.1,1,1,1,1,100,"sigmoid","fixed_uniform",2,FALSE,FALSE,0.5,0.2,"bich"
3,"synthetic","LSVCMM",100,0.1,1,1,1,1,100,"sigmoid","fixed_uniform",3,FALSE,FALSE,0.5,0.2,"bich"
4,"synthetic","LSVCMM",100,0.1,1,1,1,1,100,"sigmoid","fixed_uniform",4,FALSE,FALSE,0.5,0.2,"bich"
5,"synthetic","LSVCMM",100,0.1,1,1,1,1,100,"sigmoid","fixed_uniform",5,FALSE,FALSE,0.5,0.2,"bich"
6,"synthetic","LSVCMM",100,0.1,1,1,1,1,100,"sigmoid","fixed_uniform",6,FALSE,FALSE,0.5,0.2,"bich"
7,"synthetic","LSVCMM",100,0.1,1,1,1,1,100,"sigmoid","fixed_uniform",7,FALSE,FALSE,0.5,0.2,"bich"
8,"synthetic","LSVCMM",100,0.1,1,1,1,1,100,"sigmoid","fixed_uniform",8,FALSE,FALSE,0.5,0.2,"bich"
9,"synthetic","LSVCMM",100,0.1,1,1,1,1,100,"sigmoid","fixed_uniform",9,FALSE,FALSE,0.5,0.2,"bich"
10,"synthetic","LSVCMM",100,0.1,1,1,1,1,100,"sigmoid","fixed_uniform",10,FALSE,FALSE,0.5,0.2,"bich"
11,"synthetic","LSVCMM",100,0.1,1,1,1,1,100,"sigmoid","fixed_uniform",11,FALSE,FALSE,0.5,0.2,"bich"
12,"synthetic","LSVCMM",100,0.1,1,1,1,1,100,"sigmoid","fixed_uniform",12,FALSE,FALSE,0.5,0.2,"bich"
13,"synthetic","LSVCMM",100,0.1,1,1,1,1,100,"sigmoid","fixed_uniform",13,FALSE,FALSE,0.5,0.2,"bich"
14,"synthetic","LSVCMM",100,0.1,1,1,1,1,100,"sigmoid","fixed_uniform",14,FALSE,FALSE,0.5,0.2,"bich"
15,"synthetic","LSVCMM",100,0.1,1,1,1,1,100,"sigmoid","fixed_uniform",15,FALSE,FALSE,0.5,0.2,"bich"
16,"synthetic","LSVCMM",100,0.1,1,1,1,1,100,"sigmoid","fixed_uniform",16,FALSE,FALSE,0.5,0.2,"bich"
17,"synthetic","LSVCMM",100,0.1,1,1,1,1,100,"sigmoid","fixed_uniform",17,FALSE,FALSE,0.5,0.2,"bich"
18,"synthetic","LSVCMM",100,0.1,1,1,1,1,100,"sigmoid","fixed_uniform",18,FALSE,FALSE,0.5,0.2,"bich"
19,"synthetic","LSVCMM",100,0.1,1,1,1,1,100,"sigmoid","fixed_uniform",19,FALSE,FALSE,0.5,0.2,"bich"
20,"synthetic","LSVCMM",100,0.1,1,1,1,1,100,"sigmoid","fixed_uniform",20,FALSE,FALSE,0.5,0.2,"bich"
21,"synthetic","LSVCMM",100,0.1,1,1,1,1,100,"sigmoid","fixed_uniform",21,FALSE,FALSE,0.5,0.2,"bich"
22,"synthetic","LSVCMM",100,0.1,1,1,1,1,100,"sigmoid","fixed_uniform",22,FALSE,FALSE,0.5,0.2,"bich"
23,"synthetic","LSVCMM",100,0.1,1,1,1,1,100,"sigmoid","fixed_uniform",23,FALSE,FALSE,0.5,0.2,"bich"
24,"synthetic","LSVCMM",100,0.1,1,1,1,1,100,"sigmoid","fixed_uniform",24,FALSE,FALSE,0.5,0.2,"bich"
25,"synthetic","LSVCMM",100,0.1,1,1,1,1,100,"sigmoid","fixed_uniform",25,FALSE,FALSE,0.5,0.2,"bich"
26,"synthetic","LSVCMM",100,0.1,1,1,1,1,100,"sigmoid","fixed_uniform",26,FALSE,FALSE,0.5,0.2,"bich"
27,"synthetic","LSVCMM",100,0.1,1,1,1,1,100,"sigmoid","fixed_uniform",27,FALSE,FALSE,0.5,0.2,"bich"
28,"synthetic","LSVCMM",100,0.1,1,1,1,1,100,"sigmoid","fixed_uniform",28,FALSE,FALSE,0.5,0.2,"bich"
29,"synthetic","LSVCMM",100,0.1,1,1,1,1,100,"sigmoid","fixed_uniform",29,FALSE,FALSE,0.5,0.2,"bich"
30,"synthetic","LSVCMM",100,0.1,1,1,1,1,100,"sigmoid","fixed_uniform",30,FALSE,FALSE,0.5,0.2,"bich"
31,"synthetic","LSVCMM",100,0.1,1,1,1,1,100,"sigmoid","fixed_uniform",31,FALSE,FALSE,0.5,0.2,"bich"
32,"synthetic","LSVCMM",100,0.1,1,1,1,1,100,"sigmoid","fixed_uniform",32,FALSE,FALSE,0.5,0.2,"bich"
33,"synthetic","LSVCMM",100,0.1,1,1,1,1,100,"sigmoid","fixed_uniform",33,FALSE,FALSE,0.5,0.2,"bich"
34,"synthetic","LSVCMM",100,0.1,1,1,1,1,100,"sigmoid","fixed_uniform",34,FALSE,FALSE,0.5,0.2,"bich"
35,"synthetic","LSVCMM",100,0.1,1,1,1,1,100,"sigmoid","fixed_uniform",35,FALSE,FALSE,0.5,0.2,"bich"
36,"synthetic","LSVCMM",100,0.1,1,1,1,1,100,"sigmoid","fixed_uniform",36,FALSE,FALSE,0.5,0.2,"bich"
37,"synthetic","LSVCMM",100,0.1,1,1,1,1,100,"sigmoid","fixed_uniform",37,FALSE,FALSE,0.5,0.2,"bich"
38,"synthetic","LSVCMM",100,0.1,1,1,1,1,100,"sigmoid","fixed_uniform",38,FALSE,FALSE,0.5,0.2,"bich"
39,"synthetic","LSVCMM",100,0.1,1,1,1,1,100,"sigmoid","fixed_uniform",39,FALSE,FALSE,0.5,0.2,"bich"
40,"synthetic","LSVCMM",100,0.1,1,1,1,1,100,"sigmoid","fixed_uniform",40,FALSE,FALSE,0.5,0.2,"bich"
41,"synthetic","LSVCMM",100,0.1,1,1,1,1,100,"sigmoid","fixed_uniform",41,FALSE,FALSE,0.5,0.2,"bich"
42,"synthetic","LSVCMM",100,0.1,1,1,1,1,100,"sigmoid","fixed_uniform",42,FALSE,FALSE,0.5,0.2,"bich"
43,"synthetic","LSVCMM",100,0.1,1,1,1,1,100,"sigmoid","fixed_uniform",43,FALSE,FALSE,0.5,0.2,"bich"
44,"synthetic","LSVCMM",100,0.1,1,1,1,1,100,"sigmoid","fixed_uniform",44,FALSE,FALSE,0.5,0.2,"bich"
45,"synthetic","LSVCMM",100,0.1,1,1,1,1,100,"sigmoid","fixed_uniform",45,FALSE,FALSE,0.5,0.2,"bich"
46,"synthetic","LSVCMM",100,0.1,1,1,1,1,100,"sigmoid","fixed_uniform",46,FALSE,FALSE,0.5,0.2,"bich"
47,"synthetic","LSVCMM",100,0.1,1,1,1,1,100,"sigmoid","fixed_uniform",47,FALSE,FALSE,0.5,0.2,"bich"
48,"synthetic","LSVCMM",100,0.1,1,1,1,1,100,"sigmoid","fixed_uniform",48,FALSE,FALSE,0.5,0.2,"bich"
49,"synthetic","LSVCMM",100,0.1,1,1,1,1,100,"sigmoid","fixed_uniform",49,FALSE,FALSE,0.5,0.2,"bich"
50,"synthetic","LSVCMM",100,0.1,1,1,1,1,100,"sigmoid","fixed_uniform",50,FALSE,FALSE,0.5,0.2,"bich"
51,"synthetic","LSVCMM",100,0.1,1,1,1,1,100,"sigmoid","fixed_uniform",51,FALSE,FALSE,0.5,0.2,"bich"
52,"synthetic","LSVCMM",100,0.1,1,1,1,1,100,"sigmoid","fixed_uniform",52,FALSE,FALSE,0.5,0.2,"bich"
53,"synthetic","LSVCMM",100,0.1,1,1,1,1,100,"sigmoid","fixed_uniform",53,FALSE,FALSE,0.5,0.2,"bich"
