"job.id","problem","algorithm","n_subjects","prop_observed","observation_variance","random_effect_ar1_correlation","random_effect_variance_ratio","effect_size","n_timepoints","grpdiff_function","missingness","seed","cross_sectional","independent","penalty.adaptive","kernel.scale"
1,"synthetic","LSVCMM",10,0.1,1,1,1,1,100,"sigmoid","fixed_uniform",1,FALSE,FALSE,0.5,0.2
2,"synthetic","LSVCMM",10,0.1,1,1,1,1,100,"sigmoid","fixed_uniform",2,FALSE,FALSE,0.5,0.2
3,"synthetic","LSVCMM",10,0.1,1,1,1,1,100,"sigmoid","fixed_uniform",3,FALSE,FALSE,0.5,0.2
4,"synthetic","LSVCMM",10,0.1,1,1,1,1,100,"sigmoid","fixed_uniform",4,FALSE,FALSE,0.5,0.2
5,"synthetic","LSVCMM",10,0.1,1,1,1,1,100,"sigmoid","fixed_uniform",5,FALSE,FALSE,0.5,0.2
6,"synthetic","LSVCMM",10,0.1,1,1,1,1,100,"sigmoid","fixed_uniform",6,FALSE,FALSE,0.5,0.2
7,"synthetic","LSVCMM",10,0.1,1,1,1,1,100,"sigmoid","fixed_uniform",7,FALSE,FALSE,0.5,0.2
8,"synthetic","LSVCMM",10,0.1,1,1,1,1,100,"sigmoid","fixed_uniform",8,FALSE,FALSE,0.5,0.2
9,"synthetic","LSVCMM",10,0.1,1,1,1,1,100,"sigmoid","fixed_uniform",9,FALSE,FALSE,0.5,0.2
10,"synthetic","LSVCMM",10,0.1,1,1,1,1,100,"sigmoid","fixed_uniform",10,FALSE,FALSE,0.5,0.2
11,"synthetic","LSVCMM",10,0.1,1,1,1,1,100,"sigmoid","fixed_uniform",11,FALSE,FALSE,0.5,0.2
12,"synthetic","LSVCMM",10,0.1,1,1,1,1,100,"sigmoid","fixed_uniform",12,FALSE,FALSE,0.5,0.2
13,"synthetic","LSVCMM",10,0.1,1,1,1,1,100,"sigmoid","fixed_uniform",13,FALSE,FALSE,0.5,0.2
14,"synthetic","LSVCMM",10,0.1,1,1,1,1,100,"sigmoid","fixed_uniform",14,FALSE,FALSE,0.5,0.2
15,"synthetic","LSVCMM",10,0.1,1,1,1,1,100,"sigmoid","fixed_uniform",15,FALSE,FALSE,0.5,0.2
16,"synthetic","LSVCMM",10,0.1,1,1,1,1,100,"sigmoid","fixed_uniform",16,FALSE,FALSE,0.5,0.2
17,"synthetic","LSVCMM",10,0.1,1,1,1,1,100,"sigmoid","fixed_uniform",17,FALSE,FALSE,0.5,0.2
18,"synthetic","LSVCMM",10,0.1,1,1,1,1,100,"sigmoid","fixed_uniform",18,FALSE,FALSE,0.5,0.2
19,"synthetic","LSVCMM",10,0.1,1,1,1,1,100,"sigmoid","fixed_uniform",19,FALSE,FALSE,0.5,0.2
20,"synthetic","LSVCMM",10,0.1,1,1,1,1,100,"sigmoid","fixed_uniform",20,FALSE,FALSE,0.5,0.2
21,"synthetic","LSVCMM",10,0.1,1,1,1,1,100,"sigmoid","fixed_uniform",21,FALSE,FALSE,0.5,0.2
22,"synthetic","LSVCMM",10,0.1,1,1,1,1,100,"sigmoid","fixed_uniform",22,FALSE,FALSE,0.5,0.2
23,"synthetic","LSVCMM",10,0.1,1,1,1,1,100,"sigmoid","fixed_uniform",23,FALSE,FALSE,0.5,0.2
24,"synthetic","LSVCMM",10,0.1,1,1,1,1,100,"sigmoid","fixed_uniform",24,FALSE,FALSE,0.5,0.2
25,"synthetic","LSVCMM",10,0.1,1,1,1,1,100,"sigmoid","fixed_uniform",25,FALSE,FALSE,0.5,0.2
26,"synthetic","LSVCMM",10,0.1,1,1,1,1,100,"sigmoid","fixed_uniform",26,FALSE,FALSE,0.5,0.2
27,"synthetic","LSVCMM",10,0.1,1,1,1,1,100,"sigmoid","fixed_uniform",27,FALSE,FALSE,0.5,0.2
28,"synthetic","LSVCMM",10,0.1,1,1,1,1,100,"sigmoid","fixed_uniform",28,FALSE,FALSE,0.5,0.2
29,"synthetic","LSVCMM",10,0.1,1,1,1,1,100,"sigmoid","fixed_uniform",29,FALSE,FALSE,0.5,0.2
30,"synthetic","LSVCMM",10,0.1,1,1,1,1,100,"sigmoid","fixed_uniform",30,FALSE,FALSE,0.5,0.2
