"job.id","llk","rss","family.dispersion","family.name","penalty.name","penalty.alpha","penalty.lambda","penalty.adaptive","penalty.penalize_intercept","link_function.name","working_covariance.estimate","working_covariance.ratio","working_covariance.name","kernel.name","kernel.scale","control.max_iter","control.max_rounds","control.rel_tol","control.verbose","control.update_method","control.backtracking_fraction","control.two_step_estimation","control.lambda_max_factor","control.stepsize_factor","control.update_stepsize_every_round","penalty","df","df_kernel","df_logn","df_logn_kernel","df_max","aic","aich","bic","bich","ebic","ebich"
1,-21.5458344972755,51.5353787157071,0.0515353787157071,"gaussian","adaptive_sparse_group_lasso",1,0.0027299687207059,0.5,TRUE,"identity",FALSE,0.451247355767642,"compound_symmetry","gaussian",0.2,1000,50,1e-06,1,"PGD",0.9,TRUE,10,1,TRUE,0.000309552896735341,49,1.382264479692,336.922131837274,9.5043978624647,200,141.091668994551,45.856197953935,380.013800831825,52.5960668570157,639.631351792679,59.9197427549303
2,-15.0333702123028,50.4233699302464,0.0504233699302464,"gaussian","adaptive_sparse_group_lasso",1,0.00356456395890455,0.5,TRUE,"identity",FALSE,0.501888461939708,"compound_symmetry","gaussian",0.2,1000,50,1e-06,1,"PGD",0.9,TRUE,10,1,TRUE,0.000535800120690429,48,1.35405500051462,330.017060923507,9.30960940830438,200,126.066740424606,32.7748504256349,360.083801348112,39.37634983291,614.403034942418,46.5505629573978
3,8.99467465164912,49.253203524792,0.049253203524792,"gaussian","adaptive_sparse_group_lasso",1,0.00300082679109366,0.5,TRUE,"identity",FALSE,0.37074413177638,"compound_symmetry","gaussian",0.2,1000,50,1e-06,1,"PGD",0.9,TRUE,10,1,TRUE,0.000362446352704188,48,1.35405500051462,332.160232229051,9.37006715462173,200,78.0106506967018,-15.281239302269,314.170882925753,-8.61928214867651,568.490116520059,-1.44506902418872
4,-0.178789175798272,49.534051124388,0.049534051124388,"gaussian","adaptive_sparse_group_lasso",1,0.00235855559881985,0.5,TRUE,"identity",FALSE,0.434282512888572,"compound_symmetry","gaussian",0.2,1000,50,1e-06,1,"PGD",0.9,TRUE,10,1,TRUE,0.000237562409960438,48,1.35405500051462,331.265593623258,9.3448298655003,200,96.3575783515965,3.06568835262577,331.623171974854,9.70240821709684,585.94240556916,16.8766213415846
5,8.42868643789234,48.8576663418254,0.0488576663418254,"gaussian","adaptive_sparse_group_lasso",1,0.00337981543364728,0.5,TRUE,"identity",FALSE,0.416081943172643,"compound_symmetry","gaussian",0.2,1000,50,1e-06,1,"PGD",0.9,TRUE,10,1,TRUE,0.000471459270630436,47,1.32584552133723,325.146650955605,9.17221767972954,200,77.1426271242153,-14.2056818331102,308.289278079821,-7.68515519605514,557.310194307579,-0.660404844994171
6,32.4053561526188,46.4840630672567,0.0464840630672567,"gaussian","adaptive_sparse_group_lasso",1,0.00317743336325764,0.5,TRUE,"identity",FALSE,0.425710114419087,"compound_symmetry","gaussian",0.2,1000,50,1e-06,1,"PGD",0.9,TRUE,10,1,TRUE,0.000420084612097164,50,1.41047395886939,343.33884846733,9.68541009662746,200,35.1892876947625,-61.9897643874988,278.528136162093,-55.1253022086101,543.444004489494,-47.6521635372686
7,32.0414067240926,46.4231044709831,0.0464231044709831,"gaussian","adaptive_sparse_group_lasso",1,0.00297927758352225,0.5,TRUE,"identity",FALSE,0.43654552412117,"compound_symmetry","gaussian",0.2,1000,50,1e-06,1,"PGD",0.9,TRUE,10,1,TRUE,0.000387165354468037,51,1.43868343804678,352.022981650318,9.93038497082663,200,37.9171865518149,-61.2054465720915,287.940168202133,-54.1524284773585,558.154353896083,-46.5298270325902
8,59.9155980400919,44.0952900256856,0.0440952900256856,"gaussian","adaptive_sparse_group_lasso",1,0.0027504917869836,0.5,TRUE,"identity",FALSE,0.413942095690315,"compound_symmetry","gaussian",0.2,1000,50,1e-06,1,"PGD",0.9,TRUE,10,1,TRUE,0.000333103745644015,50,1.41047395886939,343.574112638661,9.69204677636979,200,-19.8311960801839,-117.010248162445,223.742916558477,-110.139149303814,488.658784885879,-102.666010632473
9,47.658083749748,45.1639680308547,0.0451639680308547,"gaussian","adaptive_sparse_group_lasso",1,0.00300292616971642,0.5,TRUE,"identity",FALSE,0.416871669382103,"compound_symmetry","gaussian",0.2,1000,50,1e-06,1,"PGD",0.9,TRUE,10,1,TRUE,0.00036486802744897,55,1.55152135475633,379.836012381497,10.7149760820979,200,14.683832500504,-92.2131247899834,284.519844882001,-84.6011914173982,575.927300042143,-76.3807388789226
10,-16.0827894581474,51.5425240528415,0.0515425240528415,"gaussian","adaptive_sparse_group_lasso",1,0.00256979946878596,0.5,TRUE,"identity",FALSE,0.393506649847281,"compound_symmetry","gaussian",0.2,1000,50,1e-06,1,"PGD",0.9,TRUE,10,1,TRUE,0.000292221585026306,66,1.8618256257076,454.190225667821,12.8124697135495,200,164.165578916295,35.8892301677099,486.355804584116,44.9780486298442,836.044750776286,54.8425916760149
11,4.16575659282995,49.1654199714977,0.0491654199714977,"gaussian","adaptive_sparse_group_lasso",1,0.00283419195379873,0.5,TRUE,"identity",FALSE,0.427807628351934,"compound_symmetry","gaussian",0.2,1000,50,1e-06,1,"PGD",0.9,TRUE,10,1,TRUE,0.000335605756187193,55,1.55152135475633,380.313565443231,10.7284476052489,200,101.66848681434,-5.22847047614724,371.982052257571,2.39693441958904,663.389507417713,10.6173869580646
12,37.9618034652821,46.1446139302381,0.0461446139302381,"gaussian","adaptive_sparse_group_lasso",1,0.00309184599197813,0.5,TRUE,"identity",FALSE,0.406190854039782,"compound_symmetry","gaussian",0.2,1000,50,1e-06,1,"PGD",0.9,TRUE,10,1,TRUE,0.000393928644268393,56,1.57973083393372,385.304850990494,10.8692491709629,200,36.0763930694359,-72.7641452626967,309.38124405993,-65.0543577596013,606.08701658662,-56.6844424476988
13,-71.9407598811074,57.4394252820477,0.0574394252820477,"gaussian","adaptive_sparse_group_lasso",1,0.00308761408506473,0.5,TRUE,"identity",FALSE,0.410534551905259,"compound_symmetry","gaussian",0.2,1000,50,1e-06,1,"PGD",0.9,TRUE,10,1,TRUE,0.000421141197399092,57,1.60794031311111,392.027270578851,11.0588851263623,200,257.881519762215,147.097400388437,535.908790341065,154.940404888577,837.912880234304,163.459782973906
14,33.7716214957819,46.6838677025014,0.0466838677025014,"gaussian","adaptive_sparse_group_lasso",1,0.00373677155292774,0.5,TRUE,"identity",FALSE,0.390062672152328,"compound_symmetry","gaussian",0.2,1000,50,1e-06,1,"PGD",0.9,TRUE,10,1,TRUE,0.0005566466107666,47,1.32584552133723,323.673789377652,9.13066902171509,200,26.4567570084362,-64.8915519488894,256.130546386088,-58.4125739698487,505.151462613846,-51.3878236187878
15,43.9545032779031,45.399795720083,0.045399795720083,"gaussian","adaptive_sparse_group_lasso",1,0.00248630937347583,0.5,TRUE,"identity",FALSE,0.428364396928204,"compound_symmetry","gaussian",0.2,1000,50,1e-06,1,"PGD",0.9,TRUE,10,1,TRUE,0.000248915224477518,50,1.41047395886939,344.145969342008,9.70817855613531,200,12.0909934441938,-85.0880586380674,256.236962786201,-78.2008279996709,521.152831113603,-70.7276893283294
16,-53.8589003016816,56.2096705208428,0.0562096705208428,"gaussian","adaptive_sparse_group_lasso",1,0.00345801382171174,0.5,TRUE,"identity",FALSE,0.341528320260112,"compound_symmetry","gaussian",0.2,1000,50,1e-06,1,"PGD",0.9,TRUE,10,1,TRUE,0.0005304365522584,54,1.52331187557894,372.210429202478,10.4998623521939,200,215.717800603363,110.764424354521,479.928229805841,118.217662955557,766.037367599435,126.288652720606
