"job.id","time","intercept","group_difference","problem","algorithm","seed","observation_variance","random_effect_ar1_correlation","random_effect_variance_ratio","prop_observed","cross_sectional","independent","penalty.adaptive"
1,0,"TN","TN","synthetic","LSVCMM",1,1,1,2,0.4,FALSE,FALSE,1
1,0.1,"TN","TN","synthetic","LSVCMM",1,1,1,2,0.4,FALSE,FALSE,1
1,0.2,"TN","TN","synthetic","LSVCMM",1,1,1,2,0.4,FALSE,FALSE,1
1,0.3,"TN","TN","synthetic","LSVCMM",1,1,1,2,0.4,FALSE,FALSE,1
1,0.4,"TN","TN","synthetic","LSVCMM",1,1,1,2,0.4,FALSE,FALSE,1
1,0.5,"TN","FN","synthetic","LSVCMM",1,1,1,2,0.4,FALSE,FALSE,1
1,0.6,"TN","TP","synthetic","LSVCMM",1,1,1,2,0.4,FALSE,FALSE,1
1,0.7,"FP","TP","synthetic","LSVCMM",1,1,1,2,0.4,FALSE,FALSE,1
1,0.8,"TN","TP","synthetic","LSVCMM",1,1,1,2,0.4,FALSE,FALSE,1
1,0.9,"TN","TP","synthetic","LSVCMM",1,1,1,2,0.4,FALSE,FALSE,1
1,1,"TN","TP","synthetic","LSVCMM",1,1,1,2,0.4,FALSE,FALSE,1
2,0,"TN","FP","synthetic","LSVCMM",1,1,1,2,0.5,FALSE,FALSE,1
2,0.1,"TN","TN","synthetic","LSVCMM",1,1,1,2,0.5,FALSE,FALSE,1
2,0.2,"TN","TN","synthetic","LSVCMM",1,1,1,2,0.5,FALSE,FALSE,1
2,0.3,"TN","TN","synthetic","LSVCMM",1,1,1,2,0.5,FALSE,FALSE,1
2,0.4,"TN","TN","synthetic","LSVCMM",1,1,1,2,0.5,FALSE,FALSE,1
2,0.5,"TN","FN","synthetic","LSVCMM",1,1,1,2,0.5,FALSE,FALSE,1
2,0.6,"TN","TP","synthetic","LSVCMM",1,1,1,2,0.5,FALSE,FALSE,1
2,0.7,"FP","TP","synthetic","LSVCMM",1,1,1,2,0.5,FALSE,FALSE,1
2,0.8,"TN","TP","synthetic","LSVCMM",1,1,1,2,0.5,FALSE,FALSE,1
2,0.9,"TN","TP","synthetic","LSVCMM",1,1,1,2,0.5,FALSE,FALSE,1
2,1,"TN","TP","synthetic","LSVCMM",1,1,1,2,0.5,FALSE,FALSE,1
3,0,"TN","FP","synthetic","LSVCMM",1,1,1,2,0.6,FALSE,FALSE,1
3,0.1,"TN","TN","synthetic","LSVCMM",1,1,1,2,0.6,FALSE,FALSE,1
3,0.2,"TN","TN","synthetic","LSVCMM",1,1,1,2,0.6,FALSE,FALSE,1
3,0.3,"TN","TN","synthetic","LSVCMM",1,1,1,2,0.6,FALSE,FALSE,1
3,0.4,"TN","TN","synthetic","LSVCMM",1,1,1,2,0.6,FALSE,FALSE,1
3,0.5,"TN","FN","synthetic","LSVCMM",1,1,1,2,0.6,FALSE,FALSE,1
3,0.6,"FP","TP","synthetic","LSVCMM",1,1,1,2,0.6,FALSE,FALSE,1
3,0.7,"FP","TP","synthetic","LSVCMM",1,1,1,2,0.6,FALSE,FALSE,1
