"job.id","time","intercept","group_difference","problem","algorithm","seed","observation_variance","random_effect_ar1_correlation","random_effect_variance_ratio","prop_observed","cross_sectional","independent","penalty.adaptive"
1,0,0,0,"synthetic","LSVCMM",1,1,1,0,1,FALSE,FALSE,1
1,0.1,0,0,"synthetic","LSVCMM",1,1,1,0,1,FALSE,FALSE,1
1,0.2,0,0,"synthetic","LSVCMM",1,1,1,0,1,FALSE,FALSE,1
1,0.3,0,0,"synthetic","LSVCMM",1,1,1,0,1,FALSE,FALSE,1
1,0.4,0,0,"synthetic","LSVCMM",1,1,1,0,1,FALSE,FALSE,1
1,0.5,0,-0.0863136626814966,"synthetic","LSVCMM",1,1,1,0,1,FALSE,FALSE,1
1,0.6,0,0.0522230292318101,"synthetic","LSVCMM",1,1,1,0,1,FALSE,FALSE,1
1,0.7,0,-0.0313243345158188,"synthetic","LSVCMM",1,1,1,0,1,FALSE,FALSE,1
1,0.8,0,-0.0620394066923923,"synthetic","LSVCMM",1,1,1,0,1,FALSE,FALSE,1
1,0.9,0,-0.022114747164921,"synthetic","LSVCMM",1,1,1,0,1,FALSE,FALSE,1
1,1,0,-0.201156684664819,"synthetic","LSVCMM",1,1,1,0,1,FALSE,FALSE,1
2,0,0,0,"synthetic","LSVCMM",1,1,1,0.2,1,FALSE,FALSE,1
2,0.1,0,0,"synthetic","LSVCMM",1,1,1,0.2,1,FALSE,FALSE,1
2,0.2,0,0,"synthetic","LSVCMM",1,1,1,0.2,1,FALSE,FALSE,1
2,0.3,0,0,"synthetic","LSVCMM",1,1,1,0.2,1,FALSE,FALSE,1
2,0.4,0,0,"synthetic","LSVCMM",1,1,1,0.2,1,FALSE,FALSE,1
2,0.5,0,-0.119202922022118,"synthetic","LSVCMM",1,1,1,0.2,1,FALSE,FALSE,1
2,0.6,0,0.180095585755093,"synthetic","LSVCMM",1,1,1,0.2,1,FALSE,FALSE,1
2,0.7,0,-0.175238513891492,"synthetic","LSVCMM",1,1,1,0.2,1,FALSE,FALSE,1
2,0.8,0,-0.281570752224826,"synthetic","LSVCMM",1,1,1,0.2,1,FALSE,FALSE,1
2,0.9,0,0.088900340979449,"synthetic","LSVCMM",1,1,1,0.2,1,FALSE,FALSE,1
2,1,0,-0.210464520197408,"synthetic","LSVCMM",1,1,1,0.2,1,FALSE,FALSE,1
3,0,0,0,"synthetic","LSVCMM",1,1,1,0.5,1,FALSE,FALSE,1
3,0.1,0,0,"synthetic","LSVCMM",1,1,1,0.5,1,FALSE,FALSE,1
3,0.2,0,0,"synthetic","LSVCMM",1,1,1,0.5,1,FALSE,FALSE,1
3,0.3,0,0,"synthetic","LSVCMM",1,1,1,0.5,1,FALSE,FALSE,1
3,0.4,0,0,"synthetic","LSVCMM",1,1,1,0.5,1,FALSE,FALSE,1
3,0.5,0,-0.119202922022118,"synthetic","LSVCMM",1,1,1,0.5,1,FALSE,FALSE,1
3,0.6,0,0.165314440878803,"synthetic","LSVCMM",1,1,1,0.5,1,FALSE,FALSE,1
3,0.7,0,-0.175765774695575,"synthetic","LSVCMM",1,1,1,0.5,1,FALSE,FALSE,1
3,0.8,0,-0.290282306080085,"synthetic","LSVCMM",1,1,1,0.5,1,FALSE,FALSE,1
3,0.9,0,0.0837213799770494,"synthetic","LSVCMM",1,1,1,0.5,1,FALSE,FALSE,1
3,1,0,-0.216048675750197,"synthetic","LSVCMM",1,1,1,0.5,1,FALSE,FALSE,1
4,0,0,0,"synthetic","LSVCMM",1,1,1,1,1,FALSE,FALSE,1
4,0.1,0,0,"synthetic","LSVCMM",1,1,1,1,1,FALSE,FALSE,1
4,0.2,0,0,"synthetic","LSVCMM",1,1,1,1,1,FALSE,FALSE,1
4,0.3,0,0,"synthetic","LSVCMM",1,1,1,1,1,FALSE,FALSE,1
4,0.4,0,0,"synthetic","LSVCMM",1,1,1,1,1,FALSE,FALSE,1
4,0.5,0,-0.119202922022118,"synthetic","LSVCMM",1,1,1,1,1,FALSE,FALSE,1
4,0.6,0,0.113763480713771,"synthetic","LSVCMM",1,1,1,1,1,FALSE,FALSE,1
4,0.7,0,-0.180269510215934,"synthetic","LSVCMM",1,1,1,1,1,FALSE,FALSE,1
4,0.8,0,-0.331011647932769,"synthetic","LSVCMM",1,1,1,1,1,FALSE,FALSE,1
4,0.9,0,0.0814951020738713,"synthetic","LSVCMM",1,1,1,1,1,FALSE,FALSE,1
4,1,0,-0.25265027854773,"synthetic","LSVCMM",1,1,1,1,1,FALSE,FALSE,1
5,0,0,0,"synthetic","LSVCMM",1,1,1,1.5,1,FALSE,FALSE,1
5,0.1,0,-0.0157477816113973,"synthetic","LSVCMM",1,1,1,1.5,1,FALSE,FALSE,1
5,0.2,0,0,"synthetic","LSVCMM",1,1,1,1.5,1,FALSE,FALSE,1
5,0.3,0,0,"synthetic","LSVCMM",1,1,1,1.5,1,FALSE,FALSE,1
