"job.id","llk","rss","family.dispersion","family.name","penalty.name","penalty.alpha","penalty.lambda","penalty.adaptive.x","penalty.penalize_intercept","link_function.name","working_covariance.estimate","working_covariance.ratio","working_covariance.name","kernel.name","kernel.scale","control.max_iter","control.max_rounds","control.rel_tol","control.verbose","control.update_method","control.backtracking_fraction","df","df_kernel","df_logn","df_logn_kernel","df_max","aic","aich","bic","bich","ebic","ebich","problem","algorithm","seed","observation_variance","random_effect_ar1_correlation","random_effect_variance_ratio","prop_observed","n_timepoints","grpdiff_function","cross_sectional","independent","penalty.adaptive.y"
1,-4419.6256255369,3121.92891169629,1.00707384248267,"gaussian","adaptive_sparse_group_lasso",1,219.870786843915,1,TRUE,"identity",TRUE,0.00713439359678345,"compound_symmetry","gaussian",0.0166666666666667,1000,50,1e-06,1,"PGD",0.9,10,10,81.6312632215074,81.6312632215074,62,8859.2512510738,8859.2512510738,8920.88251429531,8920.88251429531,8962.15385814576,8962.15385814576,"synthetic","LSVCMM",1,1,1,0,1,31,"sine",FALSE,FALSE,1
2,-4511.01937137553,3123.76561812383,1.00766632842704,"gaussian","adaptive_sparse_group_lasso",1,153.526936701688,1,TRUE,"identity",TRUE,0.208361377814103,"compound_symmetry","gaussian",0.0166666666666667,1000,50,1e-06,1,"PGD",0.9,14,14,114.28376851011,114.28376851011,62,9050.03874275107,9050.03874275107,9136.32251126118,9136.32251126118,9194.10239265181,9194.10239265181,"synthetic","LSVCMM",1,1,1,0.2,1,31,"sine",FALSE,FALSE,1
3,-4566.96933387499,3153.58283942669,1.01728478691183,"gaussian","adaptive_sparse_group_lasso",1,199.298167895166,1,TRUE,"identity",TRUE,0.516531718414497,"compound_symmetry","gaussian",0.0166666666666667,1000,50,1e-06,1,"PGD",0.9,12,12,97.9575158658088,97.9575158658088,62,9157.93866774998,9157.93866774998,9231.89618361579,9231.89618361579,9281.42179623633,9281.42179623633,"synthetic","LSVCMM",1,1,1,0.5,1,31,"sine",FALSE,FALSE,1
4,-4662.48086762762,3285.59317811215,1.05986876713295,"gaussian","adaptive_sparse_group_lasso",1,525.159056120241,1,TRUE,"identity",TRUE,1.00745327604001,"compound_symmetry","gaussian",0.0166666666666667,1000,50,1e-06,1,"PGD",0.9,3,3,24.4893789664522,24.4893789664522,62,9330.96173525525,9330.96173525525,9349.4511142217,9349.4511142217,9361.83251737684,9361.83251737684,"synthetic","LSVCMM",1,1,1,1,1,31,"sine",FALSE,FALSE,1
5,-4601.71338192361,3117.12902167194,1.00552549086192,"gaussian","adaptive_sparse_group_lasso",1,105.20744578769,1,TRUE,"identity",TRUE,1.54434512678845,"compound_symmetry","gaussian",0.0166666666666667,1000,50,1e-06,1,"PGD",0.9,16,16,130.610021154412,130.610021154412,62,9235.42676384721,9235.42676384721,9334.03678500162,9334.03678500162,9400.07093516234,9400.07093516234,"synthetic","LSVCMM",1,1,1,1.5,1,31,"sine",FALSE,FALSE,1
6,-4616.36897320102,3118.1844193777,1.00586594173474,"gaussian","adaptive_sparse_group_lasso",1,105.046856730967,1,TRUE,"identity",TRUE,2.05926026194689,"compound_symmetry","gaussian",0.0166666666666667,1000,50,1e-06,1,"PGD",0.9,16,16,130.610021154412,130.610021154412,62,9264.73794640203,9264.73794640203,9363.34796755645,9363.34796755645,9429.38211771717,9429.38211771717,"synthetic","LSVCMM",1,1,1,2,1,31,"sine",FALSE,FALSE,1
7,-4731.61901259436,3290.01018612903,1.06129360842872,"gaussian","adaptive_sparse_group_lasso",1,521.581408373963,1,TRUE,"identity",TRUE,3.94287792319438,"compound_symmetry","gaussian",0.0166666666666667,1000,50,1e-06,1,"PGD",0.9,3,3,24.4893789664522,24.4893789664522,62,9469.23802518872,9469.23802518872,9487.72740415517,9487.72740415517,9500.10880731031,9500.10880731031,"synthetic","LSVCMM",1,1,1,4,1,31,"sine",FALSE,FALSE,1
8,-4349.50376499317,2998.89655769672,0.967385986353779,"gaussian","adaptive_sparse_group_lasso",1,182.642018966249,1,TRUE,"identity",TRUE,0.00144346281680486,"compound_symmetry","gaussian",0.0166666666666667,1000,50,1e-06,1,"PGD",0.9,15,15,122.446894832261,122.446894832261,62,8729.00752998633,8729.00752998633,8821.45442481859,8821.45442481859,8883.36144059427,8883.36144059427,"synthetic","LSVCMM",2,1,1,0,1,31,"sine",FALSE,FALSE,1
9,-4458.1583013746,2994.31417193975,0.965907797399921,"gaussian","adaptive_sparse_group_lasso",1,148.103555042099,1,TRUE,"identity",TRUE,0.278196901846964,"compound_symmetry","gaussian",0.0166666666666667,1000,50,1e-06,1,"PGD",0.9,21,21,171.425652656607,171.425652656607,62,8958.3166027492,8958.3166027492,9087.74225540581,9087.74225540581,9174.41207749176,9174.41207749176,"synthetic","LSVCMM",2,1,1,0.2,1,31,"sine",FALSE,FALSE,1
10,-4517.9283491853,3027.7513652379,0.97669398878642,"gaussian","adaptive_sparse_group_lasso",1,192.151538358243,1,TRUE,"identity",TRUE,0.69492963334719,"compound_symmetry","gaussian",0.0166666666666667,1000,50,1e-06,1,"PGD",0.9,17,17,138.773147368004,138.773147368004,62,9069.8566983706,9069.8566983706,9174.6298457386,9174.6298457386,9244.79113028437,9244.79113028437,"synthetic","LSVCMM",2,1,1,0.5,1,31,"sine",FALSE,FALSE,1
11,-4566.68939975899,3058.72206327045,0.986684536538855,"gaussian","adaptive_sparse_group_lasso",1,234.663895232794,1,TRUE,"identity",TRUE,1.37432571808183,"compound_symmetry","gaussian",0.0166666666666667,1000,50,1e-06,1,"PGD",0.9,15,15,122.446894723703,122.446894723703,62,9163.37879951797,9163.37879951797,9255.82569424167,9255.82569424167,9317.73271001735,9317.73271001735,"synthetic","LSVCMM",2,1,1,1,1,31,"sine",FALSE,FALSE,1
12,-4583.58677671447,3053.24758393058,0.984918575461478,"gaussian","adaptive_sparse_group_lasso",1,217.974712798527,1,TRUE,"identity",TRUE,2.05248318967266,"compound_symmetry","gaussian",0.0166666666666667,1000,50,1e-06,1,"PGD",0.9,16,16,130.610021045853,130.610021045853,62,9199.17355342894,9199.17355342894,9297.7835744748,9297.7835744748,9363.81772463552,9363.81772463552,"synthetic","LSVCMM",2,1,1,1.5,1,31,"sine",FALSE,FALSE,1
13,-4594.32293182192,3046.59453053141,0.982772429203681,"gaussian","adaptive_sparse_group_lasso",1,202.817867885332,1,TRUE,"identity",TRUE,2.73260421865657,"compound_symmetry","gaussian",0.0166666666666667,1000,50,1e-06,1,"PGD",0.9,17,17,138.773147368004,138.773147368004,62,9222.64586364383,9222.64586364383,9327.41901101184,9327.41901101184,9397.5802955576,9397.5802955576,"synthetic","LSVCMM",2,1,1,2,1,31,"sine",FALSE,FALSE,1
14,-4617.57897226285,3024.72639950366,0.975718193388278,"gaussian","adaptive_sparse_group_lasso",1,163.836467010411,1,TRUE,"identity",TRUE,5.47148693177955,"compound_symmetry","gaussian",0.0166666666666667,1000,50,1e-06,1,"PGD",0.9,19,19,155.081573533869,155.081573533869,62,9273.1579445257,9273.1579445257,9390.23951805957,9390.23951805957,9468.65507137543,9468.65507137543,"synthetic","LSVCMM",2,1,1,4,1,31,"sine",FALSE,FALSE,1
15,-4418.38706858766,3134.67614677158,1.01118585379728,"gaussian","adaptive_sparse_group_lasso",1,85.840279640974,1,TRUE,"identity",TRUE,0.00161038841086295,"compound_symmetry","gaussian",0.0166666666666667,1000,50,1e-06,1,"PGD",0.9,14,14,114.28376851011,114.28376851011,62,8864.77413717531,8864.77413717531,8951.05790568542,8951.05790568542,9008.83778707606,9008.83778707606,"synthetic","LSVCMM",3,1,1,0,1,31,"sine",FALSE,FALSE,1
16,-4560.7478045258,3234.93640409154,1.04352787228759,"gaussian","adaptive_sparse_group_lasso",1,316.788041318084,1,TRUE,"identity",TRUE,0.18776078489702,"compound_symmetry","gaussian",0.0166666666666667,1000,50,1e-06,1,"PGD",0.9,6,6,48.9787579329044,48.9787579329044,62,9133.49560905161,9133.49560905161,9170.47436698451,9170.47436698451,9195.23717329478,9195.23717329478,"synthetic","LSVCMM",3,1,1,0.2,1,31,"sine",FALSE,FALSE,1
17,-4601.14486923354,3237.21987458899,1.04426447567387,"gaussian","adaptive_sparse_group_lasso",1,290.155025884937,1,TRUE,"identity",TRUE,0.450627653446787,"compound_symmetry","gaussian",0.0166666666666667,1000,50,1e-06,1,"PGD",0.9,6,6,48.9787579329044,48.9787579329044,62,9214.28973846708,9214.28973846708,9251.26849639999,9251.26849639999,9276.03130271026,9276.03130271026,"synthetic","LSVCMM",3,1,1,0.5,1,31,"sine",FALSE,FALSE,1
18,-4635.46471619702,3241.26278497509,1.04556864031455,"gaussian","adaptive_sparse_group_lasso",1,288.109895426829,1,TRUE,"identity",TRUE,0.89060948480914,"compound_symmetry","gaussian",0.0166666666666667,1000,50,1e-06,1,"PGD",0.9,6,6,48.9787579329044,48.9787579329044,62,9282.92943239404,9282.92943239404,9319.90819032695,9319.90819032695,9344.67099663722,9344.67099663722,"synthetic","LSVCMM",3,1,1,1,1,31,"sine",FALSE,FALSE,1
19,-4655.7359673693,3242.79946279626,1.0460643428375,"gaussian","adaptive_sparse_group_lasso",1,287.43474534749,1,TRUE,"identity",TRUE,1.33179695819132,"compound_symmetry","gaussian",0.0166666666666667,1000,50,1e-06,1,"PGD",0.9,6,6,48.9787579329044,48.9787579329044,62,9323.47193473859,9323.47193473859,9360.4506926715,9360.4506926715,9385.21349898177,9385.21349898177,"synthetic","LSVCMM",3,1,1,1.5,1,31,"sine",FALSE,FALSE,1
20,-4672.954360091,3249.6809793113,1.04828418687461,"gaussian","adaptive_sparse_group_lasso",1,307.86116353123,1,TRUE,"identity",TRUE,1.77013385006249,"compound_symmetry","gaussian",0.0166666666666667,1000,50,1e-06,1,"PGD",0.9,6,6,48.9787579329044,48.9787579329044,62,9357.908720182,9357.908720182,9394.88747811491,9394.88747811491,9419.65028442518,9419.65028442518,"synthetic","LSVCMM",3,1,1,2,1,31,"sine",FALSE,FALSE,1
21,-4707.64153746969,3250.75249567678,1.04862983731509,"gaussian","adaptive_sparse_group_lasso",1,307.397835903742,1,TRUE,"identity",TRUE,3.53800126901655,"compound_symmetry","gaussian",0.0166666666666667,1000,50,1e-06,1,"PGD",0.9,6,6,48.9787579329044,48.9787579329044,62,9427.28307493938,9427.28307493938,9464.26183287229,9464.26183287229,9489.02463918256,9489.02463918256,"synthetic","LSVCMM",3,1,1,4,1,31,"sine",FALSE,FALSE,1
22,-4395.63540779193,3093.85490849318,0.998017712417156,"gaussian","adaptive_sparse_group_lasso",1,189.009803542788,1,TRUE,"identity",TRUE,1e-06,"compound_symmetry","gaussian",0.0166666666666667,1000,50,1e-06,1,"PGD",0.9,11,11,89.7943895436581,89.7943895436581,62,8813.27081558385,8813.27081558385,8881.06520512751,8881.06520512751,8926.46368336301,8926.46368336301,"synthetic","LSVCMM",4,1,1,0,1,31,"sine",FALSE,FALSE,1
23,-4535.04591668127,3186.7190773757,1.02797389592764,"gaussian","adaptive_sparse_group_lasso",1,395.213923605656,1,TRUE,"identity",TRUE,0.177344747081251,"compound_symmetry","gaussian",0.0166666666666667,1000,50,1e-06,1,"PGD",0.9,5,5,40.8156316107537,40.8156316107537,62,9080.09183336255,9080.09183336255,9110.9074649733,9110.9074649733,9131.54313689852,9131.54313689852,"synthetic","LSVCMM",4,1,1,0.2,1,31,"sine",FALSE,FALSE,1
