"job.id","llk","rss","family.dispersion","family.name","penalty.name","penalty.alpha","penalty.lambda","penalty.adaptive.x","penalty.penalize_intercept","link_function.name","working_covariance.estimate","working_covariance.ratio","working_covariance.name","kernel.name","kernel.scale","control.max_iter","control.max_rounds","control.rel_tol","control.verbose","control.update_method","control.backtracking_fraction","df","df_kernel","df_logn","df_logn_kernel","df_max","aic","aich","bic","bich","ebic","ebich","problem","algorithm","seed","observation_variance","random_effect_ar1_correlation","random_effect_variance_ratio","prop_observed","n_timepoints","grpdiff_function","cross_sectional","independent","penalty.adaptive.y"
1,-2158.85377175489,639.019731061527,0.206135397116622,"gaussian","adaptive_sparse_group_lasso",1,62.6791198518349,1,TRUE,"identity",TRUE,2.0320250099988,"compound_symmetry","gaussian",0.0166666666666667,1000,50,1e-06,1,"PGD",0.9,14,14,114.28376851011,114.28376851011,62,4345.70754350978,4345.70754350978,4431.99131201989,4431.99131201989,4489.77119341052,4489.77119341052,"synthetic","LSVCMM",1,0.2,1,2,1,31,"sine",FALSE,FALSE,1
2,-3548.80142562988,1566.06697614523,0.505182895530719,"gaussian","adaptive_sparse_group_lasso",1,72.9502907754678,1,TRUE,"identity",TRUE,2.0547455761113,"compound_symmetry","gaussian",0.0166666666666667,1000,50,1e-06,1,"PGD",0.9,14,14,114.28376851011,114.28376851011,62,7125.60285125975,7125.60285125975,7211.88661976987,7211.88661976987,7269.6665011605,7269.6665011605,"synthetic","LSVCMM",1,0.5,1,2,1,31,"sine",FALSE,FALSE,1
3,-4286.58977977927,2521.09167838336,0.813255380123665,"gaussian","adaptive_sparse_group_lasso",1,144.497616570611,1,TRUE,"identity",TRUE,2.04621261380091,"compound_symmetry","gaussian",0.0166666666666667,1000,50,1e-06,1,"PGD",0.9,13,13,106.12064218796,106.12064218796,62,8599.17955955853,8599.17955955853,8679.30020174649,8679.30020174649,8732.95294875208,8732.95294875208,"synthetic","LSVCMM",1,0.8,1,2,1,31,"sine",FALSE,FALSE,1
4,-4616.36897320102,3118.1844193777,1.00586594173474,"gaussian","adaptive_sparse_group_lasso",1,105.046856730967,1,TRUE,"identity",TRUE,2.05926026194689,"compound_symmetry","gaussian",0.0166666666666667,1000,50,1e-06,1,"PGD",0.9,16,16,130.610021154412,130.610021154412,62,9264.73794640203,9264.73794640203,9363.34796755645,9363.34796755645,9429.38211771717,9429.38211771717,"synthetic","LSVCMM",1,1,1,2,1,31,"sine",FALSE,FALSE,1
5,-5290.8885966355,4821.69256564093,1.55538469859385,"gaussian","adaptive_sparse_group_lasso",1,483.374107745784,1,TRUE,"identity",TRUE,2.01435337884794,"compound_symmetry","gaussian",0.0166666666666667,1000,50,1e-06,1,"PGD",0.9,4,4,32.6525052886029,32.6525052886029,62,10589.777193271,10589.777193271,10614.4296985596,10614.4296985596,10630.9382360998,10630.9382360998,"synthetic","LSVCMM",1,1.5,1,2,1,31,"sine",FALSE,FALSE,1
6,-5743.48116539015,6457.74540564524,2.0831436792404,"gaussian","adaptive_sparse_group_lasso",1,2197.02685573132,1,TRUE,"identity",TRUE,2.00422594983151,"compound_symmetry","gaussian",0.0166666666666667,1000,50,1e-06,1,"PGD",0.9,0,0,0,0,62,11486.9623307803,11486.9623307803,11486.9623307803,11486.9623307803,11486.9623307803,11486.9623307803,"synthetic","LSVCMM",1,2,1,2,1,31,"sine",FALSE,FALSE,1
7,-6786.30864573114,12650.0727417705,4.08066862637759,"gaussian","adaptive_sparse_group_lasso",1,2520.60497145583,1,TRUE,"identity",TRUE,2.03022407041981,"compound_symmetry","gaussian",0.0166666666666667,1000,50,1e-06,1,"PGD",0.9,0,0,0,0,62,13572.6172914623,13572.6172914623,13572.6172914623,13572.6172914623,13572.6172914623,13572.6172914623,"synthetic","LSVCMM",1,4,1,2,1,31,"sine",FALSE,FALSE,1
8,-2059.27866682993,593.260744389501,0.191374433674033,"gaussian","adaptive_sparse_group_lasso",1,23.0525107533599,1,TRUE,"identity",TRUE,2.78741793725742,"compound_symmetry","gaussian",0.0166666666666667,1000,50,1e-06,1,"PGD",0.9,26,26,212.223457680366,212.223457680366,62,4170.55733365986,4170.55733365986,4330.78079134023,4330.78079134023,4438.0862853514,4438.0862853514,"synthetic","LSVCMM",2,0.2,1,2,1,31,"sine",FALSE,FALSE,1
9,-3506.59053252522,1509.84384121903,0.487046400393235,"gaussian","adaptive_sparse_group_lasso",1,93.749600496473,1,TRUE,"identity",TRUE,2.75457749048441,"compound_symmetry","gaussian",0.0166666666666667,1000,50,1e-06,1,"PGD",0.9,20,20,163.262526334456,163.262526334456,62,7053.18106505044,7053.18106505044,7176.4435913849,7176.4435913849,7258.9862790858,7258.9862790858,"synthetic","LSVCMM",2,0.5,1,2,1,31,"sine",FALSE,FALSE,1
10,-4267.28871834319,2467.59794931902,0.795999338490006,"gaussian","adaptive_sparse_group_lasso",1,221.932922994446,1,TRUE,"identity",TRUE,2.71461378043188,"compound_symmetry","gaussian",0.0166666666666667,1000,50,1e-06,1,"PGD",0.9,15,15,122.446894723703,122.446894723703,62,8564.57743668638,8564.57743668638,8657.02433141008,8657.02433141008,8718.93134718575,8718.93134718575,"synthetic","LSVCMM",2,0.8,1,2,1,31,"sine",FALSE,FALSE,1
11,-4594.32293182192,3046.59453053141,0.982772429203681,"gaussian","adaptive_sparse_group_lasso",1,202.817867885332,1,TRUE,"identity",TRUE,2.73260421865657,"compound_symmetry","gaussian",0.0166666666666667,1000,50,1e-06,1,"PGD",0.9,17,17,138.773147368004,138.773147368004,62,9222.64586364383,9222.64586364383,9327.41901101184,9327.41901101184,9397.5802955576,9397.5802955576,"synthetic","LSVCMM",2,1,1,2,1,31,"sine",FALSE,FALSE,1
12,-5290.10502826283,4777.71639138062,1.54119883592923,"gaussian","adaptive_sparse_group_lasso",1,1945.41441138176,1,TRUE,"identity",TRUE,2.64433935843627,"compound_symmetry","gaussian",0.0166666666666667,1000,50,1e-06,1,"PGD",0.9,0,0,0,0,62,10580.2100565257,10580.2100565257,10580.2100565257,10580.2100565257,10580.2100565257,10580.2100565257,"synthetic","LSVCMM",2,1.5,1,2,1,31,"sine",FALSE,FALSE,1
13,-5715.00659000086,6282.96670551061,2.02676345339052,"gaussian","adaptive_sparse_group_lasso",1,2250.06175969683,1,TRUE,"identity",TRUE,2.66520166915199,"compound_symmetry","gaussian",0.0166666666666667,1000,50,1e-06,1,"PGD",0.9,0,0,0,0,62,11430.0131800017,11430.0131800017,11430.0131800017,11430.0131800017,11430.0131800017,11430.0131800017,"synthetic","LSVCMM",2,2,1,2,1,31,"sine",FALSE,FALSE,1
14,-6756.10580977051,12294.4869666474,3.96596353762819,"gaussian","adaptive_sparse_group_lasso",1,2757.47567275304,1,TRUE,"identity",TRUE,2.69617099215269,"compound_symmetry","gaussian",0.0166666666666667,1000,50,1e-06,1,"PGD",0.9,0,0,0,0,62,13512.211619541,13512.211619541,13512.211619541,13512.211619541,13512.211619541,13512.211619541,"synthetic","LSVCMM",2,4,1,2,1,31,"sine",FALSE,FALSE,1
15,-2153.62020332262,639.32610971176,0.206234228939277,"gaussian","adaptive_sparse_group_lasso",1,50.4978717387482,1,TRUE,"identity",TRUE,1.79945604243474,"compound_symmetry","gaussian",0.0166666666666667,1000,50,1e-06,1,"PGD",0.9,18,18,146.918447211718,146.918447211718,62,4343.24040664523,4343.24040664523,4454.15885385695,4454.15885385695,4528.44727278776,4528.44727278776,"synthetic","LSVCMM",3,0.2,1,2,1,31,"sine",FALSE,FALSE,1
16,-3571.92179895954,1596.22433298685,0.514911075157048,"gaussian","adaptive_sparse_group_lasso",1,97.5456160834108,1,TRUE,"identity",TRUE,1.80238998339257,"compound_symmetry","gaussian",0.0166666666666667,1000,50,1e-06,1,"PGD",0.9,16,16,130.592194567417,130.592194567417,62,7175.84359791909,7175.84359791909,7274.43579248651,7274.43579248651,7340.46994264723,7340.46994264723,"synthetic","LSVCMM",3,0.5,1,2,1,31,"sine",FALSE,FALSE,1
17,-4336.18730381035,2615.59872765015,0.843741525048436,"gaussian","adaptive_sparse_group_lasso",1,277.002316304762,1,TRUE,"identity",TRUE,1.75870111578664,"compound_symmetry","gaussian",0.0166666666666667,1000,50,1e-06,1,"PGD",0.9,6,6,48.9787579329044,48.9787579329044,62,8684.3746076207,8684.3746076207,8721.3533655536,8721.3533655536,8746.11617186387,8746.11617186387,"synthetic","LSVCMM",3,0.8,1,2,1,31,"sine",FALSE,FALSE,1
18,-4672.954360091,3249.6809793113,1.04828418687461,"gaussian","adaptive_sparse_group_lasso",1,307.86116353123,1,TRUE,"identity",TRUE,1.77013385006249,"compound_symmetry","gaussian",0.0166666666666667,1000,50,1e-06,1,"PGD",0.9,6,6,48.9787579329044,48.9787579329044,62,9357.908720182,9357.908720182,9394.88747811491,9394.88747811491,9419.65028442518,9419.65028442518,"synthetic","LSVCMM",3,1,1,2,1,31,"sine",FALSE,FALSE,1
19,-5302.9659436832,4879.49750003885,1.57403145162544,"gaussian","adaptive_sparse_group_lasso",1,620.153697291217,1,TRUE,"identity",TRUE,1.76866352069777,"compound_symmetry","gaussian",0.0166666666666667,1000,50,1e-06,1,"PGD",0.9,2,2,16.3262526443015,16.3262526443015,62,10609.9318873664,10609.9318873664,10622.2581400107,10622.2581400107,10630.5124087808,10630.5124087808,"synthetic","LSVCMM",3,1.5,1,2,1,31,"sine",FALSE,FALSE,1
20,-5732.37551056862,6434.57339598517,2.07566883741457,"gaussian","adaptive_sparse_group_lasso",1,571.128411986275,1,TRUE,"identity",TRUE,1.79085866334964,"compound_symmetry","gaussian",0.0166666666666667,1000,50,1e-06,1,"PGD",0.9,2,2,16.3262526443015,16.3262526443015,62,11468.7510211372,11468.7510211372,11481.0772737815,11481.0772737815,11489.3315425516,11489.3315425516,"synthetic","LSVCMM",3,2,1,2,1,31,"sine",FALSE,FALSE,1
21,-6784.94256146923,12681.7700273562,4.09089355721168,"gaussian","adaptive_sparse_group_lasso",1,582.151551423191,1,TRUE,"identity",TRUE,1.82482860154056,"compound_symmetry","gaussian",0.0166666666666667,1000,50,1e-06,1,"PGD",0.9,2,2,16.3262526443015,16.3262526443015,62,13573.8851229385,13573.8851229385,13586.2113755828,13586.2113755828,13594.4656443528,13594.4656443528,"synthetic","LSVCMM",3,4,1,2,1,31,"sine",FALSE,FALSE,1
22,-2126.1401615283,629.966253961751,0.203214920632823,"gaussian","adaptive_sparse_group_lasso",1,60.1658219226406,1,TRUE,"identity",TRUE,1.63778971235717,"compound_symmetry","gaussian",0.0166666666666667,1000,50,1e-06,1,"PGD",0.9,14,14,114.283768401552,114.283768401552,62,4280.2803230566,4280.2803230566,4366.56409145816,4366.56409145816,4424.34397284879,4424.34397284879,"synthetic","LSVCMM",4,0.2,1,2,1,31,"sine",FALSE,FALSE,1
23,-3532.333608403,1560.54561293486,0.503401810624149,"gaussian","adaptive_sparse_group_lasso",1,92.6490505579344,1,TRUE,"identity",TRUE,1.64282120509854,"compound_symmetry","gaussian",0.0166666666666667,1000,50,1e-06,1,"PGD",0.9,14,14,114.283768401552,114.283768401552,62,7092.667216806,7092.667216806,7178.95098520755,7178.95098520755,7236.73086659818,7236.73086659818,"synthetic","LSVCMM",4,0.5,1,2,1,31,"sine",FALSE,FALSE,1
24,-4307.67634164739,2575.17535273515,0.830701726688759,"gaussian","adaptive_sparse_group_lasso",1,320.865247158376,1,TRUE,"identity",TRUE,1.60884644678533,"compound_symmetry","gaussian",0.0166666666666667,1000,50,1e-06,1,"PGD",0.9,5,5,40.8156316107537,40.8156316107537,62,8625.35268329479,8625.35268329479,8656.16831490554,8656.16831490554,8676.80398683077,8676.80398683077,"synthetic","LSVCMM",4,0.8,1,2,1,31,"sine",FALSE,FALSE,1
